Protein,Cp1_noPF,Cp2_noPF,Mt1_noPF,Mt2_noPF,Lf1_noPF,Lf2_noPF
AT1G01050.1,0,0,0,0,168095860,251984510
AT1G01080.1,1571612866,174635152.8,0,0,1182363230,1808578748
AT1G01090.1,1508810389,336248025,0,0,244486552,583701939.4
AT1G01100.1,0,0,0,91835652.2,50186676,0
AT1G01140.1,0,0,0,0,0,26761006.71
AT1G01170.1,0,0,11987750248,9330046098,563003576,993332310.8
AT1G01290.1,0,0,291714555.5,423771593.2,0,0
AT1G01300.1,0,0,0,0,85142544,98867289.43
AT1G01320.1,0,0,77088262.95,22181403.15,141214396,37283192.25
AT1G01370.1,0,0,633343154.6,0,0,0
AT1G01420.1,0,0,0,0,0,132866483.7
AT1G01470.1,0,0,60144084.04,0,1005941760,799787514.1
AT1G01620.1,0,0,36553602.74,0,688616208,145978537.4
AT1G01725.1,0,12171658.64,852624776,907298200.9,0,29629725.04
AT1G01790.1,1230969541,199756789.7,45563135.53,0,493004276,1071832604
AT1G01800.1,0,0,0,19361107.67,1031631256,562202284.2
AT1G01820.1,0,0,363027283,227282448.7,156428792,0
AT1G01900.1,0,0,0,0,18562710,0
AT1G01910.1,0,0,0,0,97807332,39988562.3
AT1G01960.1,0,0,0,0,89163346,63415138.13
AT1G02090.1,0,0,0,0,64075748,0
AT1G02100.1,0,0,0,0,0,21483110.14
AT1G02120.1,0,0,0,0,20395104,0
AT1G02130.1,0,39159977.97,0,0,68498704,77583780.66
AT1G02140.1,0,0,0,0,143198024,213524452.6
AT1G02150.1,142384400.6,0,0,0,37230428,30051751.57
AT1G02160.1,0,0,230887714.3,503942975.8,0,0
AT1G02170.1,0,0,0,0,72442776,0
AT1G02270.1,0,0,55290760.84,53389085.32,0,0
AT1G02280.1,172145605.5,31772410.6,82896752.93,23045872.07,0,51008956.75
AT1G02305.1,0,0,85226628.67,0,73979812,0
AT1G02335.1,0,0,0,0,55143108,0
AT1G02360.1,0,0,0,0,44550132,37622012.53
AT1G02370.1,0,0,498929137.3,275390716,0,0
AT1G02410.1,0,0,524717658.7,162143241.5,0,0
AT1G02475.1,419020250.2,307535031.5,116582816.1,0,121720320,0
AT1G02500.1,0,0,0,101315978.3,404394432,239385002.8
AT1G02560.1,2624826881,759347214.5,0,0,1268598534,1532677050
AT1G02730.1,0,0,0,93028715.28,0,0
AT1G02780.1,23112392.44,48916122.39,459841628.1,325065071.4,1169172880,781266667.9
AT1G02820.1,0,0,0,45933288.22,0,0
AT1G02910.1,584554775.4,1392061437,0,0,209544064,117143284
AT1G02920.1,0,29900922.92,0,0,334661984,327812673.1
AT1G02930.1,25013617.47,43867477.95,147295412.8,201893799.3,1227724136,727241685
AT1G02950.1,0,0,0,0,58679512,41910583.85
AT1G03000.1,0,0,0,41324924.36,0,0
AT1G03030.1,73588587.29,52935047.14,0,0,0,68850266.36
AT1G03090.1,0,0,8877611489,7790531637,113008976,221217310.2
AT1G03100.1,0,111289056.7,0,0,762486528,915831764.4
AT1G03130.1,9081948091,12898039418,0,0,3654888960,0
AT1G03160.1,1568393290,2469130394,0,0,268442885,641867105.6
AT1G03220.1,0,0,0,0,293346500,95091204.51
AT1G03230.1,0,0,0,0,263093488,54241135.78
AT1G03310.1,107997905.8,16653331.84,0,0,63818728,175470649.8
AT1G03330.1,0,0,0,0,138170932,0
AT1G03350.1,0,0,0,0,29827098,0
AT1G03400.1,0,0,0,0,12131670,0
AT1G03475.1,9728248156,1418220258,0,0,4791970291,4221373582
AT1G03600.1,14353922267,25928489285,4861293053,6117762707,9723483962,7634326166
AT1G03630.1,5977376901,3725869139,1599310614,772647736.9,1725869800,745920367.3
AT1G03680.1,4838988914,1281046146,42023685.05,0,7039331824,6324228436
AT1G03860.1,0,0,13754962808,14322147792,351621514,418635160.3
AT1G03870.1,0,0,40578360.31,0,1181505404,1149382886
AT1G03900.1,0,0,0,0,125369368,17027024.76
AT1G04040.1,0,9761074.936,38536057677,32239359615,76044232,46018131.29
AT1G04080.1,0,0,0,0,235162590,240860782.6
AT1G04170.1,0,0,0,39132878.57,349748696,55314659.34
AT1G04190.1,0,0,0,0,0,99371562.35
AT1G04210.1,0,31204814.79,0,0,0,0
AT1G04270.1,0,0,0,151148047.2,1093958080,1083790090
AT1G04280.1,0,0,115915705.1,72980598.53,0,0
AT1G04410.1,13408468.66,46831434.65,853612147.8,689392314,3988927752,3440179222
AT1G04420.1,1707182296,201729682,0,0,1936989264,2633036460
AT1G04430.1,0,0,834791466.7,860404700.3,80611622,0
AT1G04510.1,0,0,0,0,0,67181357.23
AT1G04530.1,0,0,0,30433324.61,296421624,183524451.3
AT1G04620.1,823229348.1,2078339760,0,0,180664604,458507629.2
AT1G04630.1,0,0,777675401.8,834166260.1,0,0
AT1G04640.1,0,0,8007509530,7536381076,369410250.3,295771722.3
AT1G04690.1,0,0,340293405.9,68556761.5,1337402025,1632444915
AT1G04820.1,0,0,60536758.98,0,515048636,0
AT1G04850.1,0,0,0,0,93123552,109495773.4
AT1G04900.1,0,0,91819541.95,218930354.6,0,36575734.09
AT1G04910.1,0,0,39735389.83,22833235.48,0,0
AT1G04940.1,55280060.97,33474510.86,0,0,0,0
AT1G04980.1,0,0,0,0,94414828,16249602.83
AT1G05010.1,0,0,0,0,550423307,345450390.5
AT1G05030.1,13011670.42,18497264.19,0,0,0,0
AT1G05060.1,0,0,82347416.89,0,0,11065726.38
AT1G05140.1,167587488.1,304123559.6,0,0,0,0
AT1G05150.1,0,0,0,0,19735790,0
AT1G05180.1,0,0,0,0,173349360,0
AT1G05190.1,12170898355,2827397481,3156680316,2295410272,7929118176,7480903705
AT1G05205.1,0,0,0,110430086.8,0,0
AT1G05270.1,0,231522.3566,1269323213,1435576636,0,0
AT1G05350.1,0,0,0,0,79140964,14268029.84
AT1G05385.1,103944100.7,197610576.4,0,0,100487492,247804129
AT1G05430.1,0,0,154402148.5,93426705.89,0,0
AT1G05500.1,0,0,60892640.57,99414966.5,96449798,25276672.05
AT1G05560.1,0,0,0,0,119374484,135419471.8
AT1G05940.1,0,0,0,0,12266864,11947129.81
AT1G06000.1,0,0,0,0,0,352482563.7
AT1G06130.1,68035545.18,0,2586316231,1430625594,60054712,267205749.4
AT1G06190.1,391097555.1,261624141.2,0,0,78989380,0
AT1G06200.1,0,0,81820892.52,83893129.57,0,0
AT1G06210.1,0,0,0,0,61331544,39978779.14
AT1G06220.1,0,0,0,0,36071224,18692382.23
AT1G06290.1,0,0,582498142.7,339902534.1,223118948,151984809.1
AT1G06400.1,0,72820720.89,0,108553333.4,476420288,89271711.49
AT1G06410.1,0,0,0,0,68558418,52152660.95
AT1G06430.1,2145342827,4630590828,0,0,1361964248,929229767.4
AT1G06460.1,0,0,2089079247,3729115660,76419624,114971139.1
AT1G06510.1,120040583.6,0,0,0,74253152,95296376.01
AT1G06530.1,0,0,14478717965,15563938357,416975714,98185285.52
AT1G06640.1,0,0,0,0,206223800,90336339.79
AT1G06680.1,1.51E+11,1.60E+11,3767968337,1935831990,79899297468,74085440443
AT1G06690.1,1528305031,559418317.4,128404150.4,0,862014624,1822878501
AT1G06700.1,0,0,27940147.9,3702606745,0,0
AT1G06760.1,0,0,921024050,610738689.1,0,0
AT1G06820.1,593221171.4,196268289.9,0,0,81894142,48751982.23
AT1G06890.1,0,0,218728920.6,91599502.87,0,0
AT1G06950.1,7134940990,1597949682,756305904.9,692296972.1,3566973952,2401471668
AT1G07010.1,0,0,0,0,0,59496028.19
AT1G07030.1,0,0,0,108875353.2,0,0
AT1G07040.1,184710592.8,12326442.42,1205644390,348913560.7,112951004,68022623.07
AT1G07090.1,0,0,100648315.9,57267034.66,0,0
AT1G07110.1,0,0,59916993.25,20581606.45,317838320,319479866.8
AT1G07140.1,0,0,20779368.08,0,1161171261,788250694.6
AT1G07180.1,0,0,569271984.7,731978804.2,0,0
AT1G07210.1,0,0,152388565.9,60307483.08,0,0
AT1G07240.1,0,0,0,0,24372914,0
AT1G07250.1,0,0,0,0,81616552,117321841.7
AT1G07320.1,7715488780,2785882983,209026571.9,80224453.09,3242541683,3937371350
AT1G07440.1,0,0,0,0,0,478233804.3
AT1G07510.1,0,0,339259071.1,230898772,0,0
AT1G07615.1,0,0,80888718.42,47364451.29,0,0
AT1G07670.1,0,0,144416071.1,201385976,158230347,144658843.7
AT1G07700.1,187647696,13184869.69,0,0,91861520,61820384.33
AT1G07750.1,0,0,0,0,321516988,290708884.5
AT1G07790.1,0,0,290837077,374055079.1,0,121789241.3
AT1G07830.1,0,0,29401895.07,271297933.2,0,0
AT1G07890.1,33767346.85,112040041,743750740,989994053.2,12876077417,13876519384
AT1G07920.1,2235251938,3311350884,50050875318,45591614948,79457474782,65334309042
AT1G07990.1,0,0,0,0,20928352,29493012.04
AT1G08110.1,323588916.3,50535014.61,302450539.2,196291049.7,1399628028,2148530066
AT1G08160.1,0,0,0,0,124419204,56254770.31
AT1G08190.1,0,0,0,0,0,32686346.18
AT1G08200.1,0,0,0,0,354142640,90240887.42
AT1G08220.1,0,0,325384581.1,193963969.3,0,0
AT1G08360.1,0,0,277744253.4,197778655.4,133665488,794309597.4
AT1G08370.1,0,0,0,0,38935260,40239621.89
AT1G08380.1,176114762.9,0,0,0,0,0
AT1G08420.1,0,0,0,0,74512784,141227286.6
AT1G08450.1,0,0,1015085736,799361549.9,2187929178,422269801.7
AT1G08480.1,0,0,7722422503,8970942357,473488416,415389938.5
AT1G08490.1,64357246.7,14615383.22,0,0,151818860,0
AT1G08520.1,2484327922,93248472.15,88699566.12,37674815.74,425806568,210562946.8
AT1G08530.1,26498578.43,0,0,0,0,0
AT1G08550.1,1536320393,2358823648,0,0,670020344,719279144.2
AT1G08620.1,0,0,0,52391167.82,0,0
AT1G08640.1,376493611.8,256769161,65810628.73,0,348096800,657256153.3
AT1G08660.1,0,0,0,0,0,13191143.6
AT1G08750.1,0,0,0,0,36282732,0
AT1G08820.1,0,0,0,0,0,27409510.38
AT1G08830.1,0,0,674257915.2,554379908.3,3730683104,3627792286
AT1G08880.1,0,38325989.13,146191683.4,0,0,0
AT1G08930.1,0,0,429227489.6,22767154.48,34281702,13189264.7
AT1G08970.1,0,0,0,0,152704036,0
AT1G08980.1,0,0,0,0,315335440,508617910.7
AT1G09010.1,0,0,0,0,320741100,209828151.1
AT1G09020.1,0,0,0,0,228781480,176747517.4
AT1G09070.1,0,0,273146974.8,134824174.1,165108944,0
AT1G09080.1,0,0,0,0,35325836,0
AT1G09130.1,1783046930,383663742,46846977.59,0,882164276,1110822117
AT1G09210.1,0,0,269102784.3,164908454.2,1892246934,1420076257
AT1G09220.1,0,0,0,0,65897988,45561592.06
AT1G09270.1,0,0,0,0,114321304,0
AT1G09300.1,0,0,242923655.2,125773868,0,0
AT1G09310.1,0,0,472014220,209164620.2,2411444878,2909861349
AT1G09330.1,0,0,0,0,76553360,0
AT1G09340.1,36958716734,6740676558,10723875759,10428143616,32276325417,36149731746
AT1G09430.1,0,0,0,0,373746240,473074368.6
AT1G09490.1,0,0,0,0,45731832,82097237.95
AT1G09560.1,0,167059469.5,0,0,387081223,241862375.4
AT1G09590.1,87291172.79,44586526.53,802282849.7,1615703269,1942562338,1764372654
AT1G09620.1,0,0,669206827,207178824.7,1535971522,1226991171
AT1G09630.1,0,12726934.95,0,0,157124040,111046352.7
AT1G09640.1,36432464.15,91370966.48,0,0,3424270868,3167798573
AT1G09740.1,0,0,0,0,52870220,101965751
AT1G09750.1,0,0,389795223.1,730956603.4,3777535972,2460944700
AT1G09760.1,0,0,0,0,249287408,356637348.8
AT1G09770.1,0,0,0,0,0,22613365.71
AT1G09780.1,0,0,27174859.25,145069414,1245227036,1012281136
AT1G09794.1,0,0,57211985.31,145051531.8,0,0
AT1G09795.1,969695636.9,159835355.4,0,0,343364236.8,389197356.8
AT1G09830.1,605916188.2,27919332.39,0,0,623727938.6,637598637.3
AT1G09850.1,0,13178773.84,0,31676159.41,56690060,208556326.4
AT1G09870.1,0,0,29490233.3,0,65883076,136024279.8
AT1G10130.1,0,0,80472548.64,81381781.87,0,0
AT1G10200.1,0,27116741.05,599266023.7,269718658.3,519763182,157199177.4
AT1G10270.1,0,0,213171281.4,141894000.7,0,0
AT1G10290.1,0,0,108716008.5,0,184618075,137389960.3
AT1G10310.1,0,0,626620242.2,368526897.2,54623554,71805188.59
AT1G10360.1,0,0,0,0,65325484,159527105.6
AT1G10370.1,0,0,0,0,477870208,435935088.2
AT1G10390.1,0,16197621.17,170941563.4,27170482.99,23690720,99849444.8
AT1G10510.1,900902433.2,220630362.7,51712383.42,0,272811768,284634306.8
AT1G10522.1,88178243.07,61925285.39,0,0,38087988,44364585.11
AT1G10590.1,0,0,136395337.5,86122963.5,195879760,141840209.3
AT1G10670.1,0,0,0,198636012.4,35634828,36791796.76
AT1G10700.1,101243675.9,0,0,0,0,47486010.01
AT1G10760.1,3348564171,868651637.4,0,0,4771846884,12840169377
AT1G10830.1,78277904.67,59287442.98,0,0,0,0
AT1G10840.1,0,0,0,0,531130032,432778744.8
AT1G10950.1,0,0,1179017482,1678593775,269304460,227611103.2
AT1G11170.1,0,0,0,229207281.1,0,0
AT1G11260.1,0,0,34611515.36,28425779.02,617002504,0
AT1G11310.1,0,0,0,0,16736384,0
AT1G11360.1,0,0,0,0,46751184,0
AT1G11390.1,0,0,180576412.6,215079125.3,0,0
AT1G11430.1,387945942.5,134083618.8,0,0,245676496,0
AT1G11475.1,0,0,52829750.43,38047923.83,0,0
AT1G11530.1,0,0,0,0,159599342,170295036.2
AT1G11580.1,0,7152948.45,9559026.881,0,35605288,171236302.4
AT1G11650.1,0,0,0,0,366324336,138703688.8
AT1G11660.1,0,0,0,0,123670664,34278587.63
AT1G11720.1,277102750.1,21070767.95,0,0,37598672,73365344.88
AT1G11750.1,1249102374,160759640.4,0,0,1060765080,1406854883
AT1G11820.1,0,0,0,0,0,39897262.83
AT1G11840.1,0,0,262457103.9,218525503.5,4176649520,6240437707
AT1G11860.1,688683044,578501047.5,5.71E+11,5.06E+11,22606651901,26833559093
AT1G11870.1,343157342.2,6807148.509,125757113.5,127354559.2,138420064,141455277.6
AT1G11890.1,0,0,0,88038262.32,0,0
AT1G11905.1,0,0,0,0,17502562,0
AT1G11910.1,0,39208270.89,357400401.9,93027470.32,979827774,1308048034
AT1G11930.1,9471661.466,0,0,0,310193032,366885444.9
AT1G12000.1,0,0,0,0,55337052,49922257.28
AT1G12050.1,0,0,112323917,0,432027476,305795386
AT1G12080.1,0,0,0,0,411992256,0
AT1G12230.1,993058594.1,508102663.9,30222903.98,0,1761853828,1446812831
AT1G12240.1,0,0,0,0,379684690,0
AT1G12250.1,1319499391,893594022.4,0,0,345853320,622354157.6
AT1G12270.1,0,0,0,0,2760372524,2682983448
AT1G12310.1,0,0,58804921.93,39361917.66,455355232,459151051.2
AT1G12350.1,0,0,0,0,39212564,160152634.1
AT1G12360.1,0,0,0,0,39741396,0
AT1G12410.1,864782119.5,376220338.6,0,0,765304480,517309122.8
AT1G12520.1,107560939.9,0,0,0,92803020,38974287.42
AT1G12640.1,0,0,24478701.7,0,29093960,0
AT1G12750.1,0,0,88971781.93,169965775.4,0,0
AT1G12760.1,0,0,0,59715282.26,0,0
AT1G12780.1,0,0,0,0,517051800,262824981.1
AT1G12800.1,595203310.2,10618791.32,0,0,309728768,0
AT1G12840.1,10507471.01,49552056.45,2891760722,1807383360,7238989460,6260204954
AT1G12900.1,10086468490,2468903961,10856437.68,257484094.4,4682360411,9299042801
AT1G12920.1,0,0,0,0,35067560,23142830.92
AT1G13020.1,0,0,14190475.97,15549888.44,542186498,139482920.9
AT1G13060.1,0,0,0,58311315.21,398788312,164556096.4
AT1G13100.1,0,0,0,0,53418312,0
AT1G13110.1,0,0,110684664.9,403019702.2,461018444,853945420
AT1G13220.1,0,0,934329624.4,0,0,0
