Protein,Species,Genome,UniquePeptides,TotalPSMs,Cp1,Cp2,Lf1,Lf2,Mt1,Mt2,Cp1_noPF,Cp2_noPF,Lf1_noPF,Lf2_noPF,Mt1_noPF,Mt2_noPF,cp,leaf,mito,cp_noPF,leaf_noPF,mito_noPF,cp_leaf_ratio,mito_leaf_ratio,cp_leaf_ratio_noPF,mito_leaf_ratio_noPF
ATCG00020.1,Arabidopsis,Plastid,14,270,1.70E+11,2.95E+11,1.18E+11,1.11E+11,1.35E+10,1.16E+10,1.70E+11,2.95E+11,1.15E+11,1.05E+11,1.27E+10,1.14E+10,4.66E+11,2.29E+11,2.50E+10,4.66E+11,2.20E+11,2.40E+10,2.03,0.11,2.11,0.11
ATCG00120.1,Arabidopsis,Plastid,40,620,5.37E+11,8.30E+11,2.88E+11,3.88E+11,6.01E+10,5.29E+10,5.13E+11,7.90E+11,2.88E+11,3.67E+11,5.49E+10,5.21E+10,1.37E+12,6.76E+11,1.13E+11,1.30E+12,6.55E+11,1.07E+11,2.02,0.17,1.99,0.16
ATCG00130.2 atpf,Arabidopsis,Plastid,21,130,4.47E+10,8.65E+10,3.00E+10,2.80E+10,5.19E+09,5.67E+09,4.46E+10,8.65E+10,2.43E+10,2.09E+10,3.93E+09,4.97E+09,1.31E+11,5.81E+10,1.09E+10,1.31E+11,4.52E+10,8.91E+09,2.26,0.19,2.90,0.20
ATCG00140.1,Arabidopsis,Plastid,4,34,1.43E+08,4.04E+08,1.59E+08,1.36E+08,4.07E+07,0.00E+00,1.43E+08,4.04E+08,1.48E+08,8.57E+07,4.07E+07,0.00E+00,5.47E+08,2.95E+08,4.07E+07,5.47E+08,2.34E+08,4.07E+07,1.85,0.14,2.34,0.17
ATCG00150.1,Arabidopsis,Plastid,4,16,2.82E+09,2.06E+09,2.60E+09,3.15E+09,3.12E+08,2.68E+08,2.79E+09,2.05E+09,2.60E+09,3.12E+09,0.00E+00,0.00E+00,4.88E+09,5.75E+09,5.80E+08,4.85E+09,5.72E+09,0.00E+00,0.85,0.10,0.85,0.00
ATCG00160.1,Arabidopsis,Plastid,14,36,6.40E+09,1.90E+09,4.05E+09,3.42E+09,8.18E+08,6.79E+08,4.83E+09,1.23E+09,1.76E+09,2.25E+09,3.21E+08,1.76E+08,8.29E+09,7.46E+09,1.50E+09,6.06E+09,4.01E+09,4.98E+08,1.11,0.20,1.51,0.12
ATCG00170.1,Arabidopsis,Plastid,15,21,6.37E+08,3.04E+08,6.27E+08,1.01E+09,6.84E+08,7.53E+08,6.37E+08,1.28E+08,1.31E+07,0.00E+00,0.00E+00,0.00E+00,9.41E+08,1.64E+09,1.44E+09,7.65E+08,1.31E+07,0.00E+00,0.57,0.88,58.20,0.00
ATCG00180.2,Arabidopsis,Plastid,3,5,7.14E+07,2.35E+07,1.63E+07,6.95E+06,0.00E+00,0.00E+00,7.14E+07,2.35E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.49E+07,2.32E+07,0.00E+00,9.49E+07,0.00E+00,0.00E+00,4.09,0.00,#DIV/0!,#DIV/0!
ATCG00190.2 RPOB,Arabidopsis,Plastid,20,31,7.61E+08,6.20E+08,1.57E+08,1.65E+08,6.93E+07,1.68E+08,5.13E+08,5.31E+08,2.94E+07,0.00E+00,0.00E+00,0.00E+00,1.38E+09,3.22E+08,2.37E+08,1.04E+09,2.94E+07,0.00E+00,4.29,0.74,35.52,0.00
ATCG00270.1,Arabidopsis,Plastid,13,167,2.11E+11,3.73E+11,1.41E+11,1.40E+11,1.58E+10,1.37E+10,2.07E+11,3.72E+11,1.41E+11,1.39E+11,1.45E+10,1.36E+10,5.84E+11,2.81E+11,2.96E+10,5.80E+11,2.80E+11,2.81E+10,2.08,0.11,2.07,0.10
