Gene,Species,Genome,UniquePeptides,mito1_unique_psm,mito2_unique_psm,leaf1_unique_psm,leaf2_unique_psm,cp1_unique_psm,cp2_unique_psm,mito,leaf,cp
ATMG00060.2  NAD5C,Arabidopsis,Mito,7,9,5,1,3,0,0,14,4,0
ATMG00070.2 sp,Arabidopsis,Mito,20,30,26,3,5,0,0,56,8,0
ATMG00080.2,Arabidopsis,Mito,2,2,1,0,0,0,0,3,0,0
ATMG00090.2,Arabidopsis,Mito,9,7,7,0,0,0,0,14,0,0
ATMG00160.2 sp,Arabidopsis,Mito,10,15,11,3,4,1,1,26,7,2
ATMG00210.2,Arabidopsis,Mito,3,3,1,0,0,0,0,4,0,0
ATMG00220.2 tr,Arabidopsis,Mito,3,4,4,2,2,0,0,8,4,0
ATMG00270.2 tr,Arabidopsis,Mito,3,3,1,0,0,0,0,4,0,0
ATMG00285.2 sp,Arabidopsis,Mito,5,5,5,2,2,0,0,10,4,0
ATMG00290.2 tr,Arabidopsis,Mito,9,15,8,0,0,0,0,23,0,0
ATMG00410.2 sp,Arabidopsis,Mito,1,0,1,0,0,0,0,1,0,0
ATMG00480.1,Arabidopsis,Mito,14,25,23,5,8,0,1,48,13,1
ATMG00510.2 tr,Arabidopsis,Mito,35,56,48,14,12,2,4,104,26,6
ATMG00516.2,Arabidopsis,Mito,5,3,2,2,3,0,0,5,5,0
ATMG00560.2 tr,Arabidopsis,Mito,5,5,3,0,0,0,0,8,0,0
ATMG00580.2 tr,Arabidopsis,Mito,5,4,5,2,2,0,0,9,4,0
ATMG00640.2 sp,Arabidopsis,Mito,15,17,15,2,4,1,1,32,6,2
ATMG00730.2 sp,Arabidopsis,Mito,2,1,0,1,1,0,0,1,2,0
ATMG00830.2 tr,Arabidopsis,Mito,2,0,2,0,0,0,0,2,0,0
ATMG00990.2 sp,Arabidopsis,Mito,1,1,1,0,0,0,0,2,0,0
ATMG01080.2 sp,Arabidopsis,Mito,1,6,23,0,7,8,0,29,7,8
ATMG01190.2 sp,Arabidopsis,Mito,69,204,169,35,42,17,17,373,77,34
ATMG01270.2 tr,Arabidopsis,Mito,3,4,2,0,0,0,0,6,0,0
ATCG00020.1,Arabidopsis,Plastid,14,13,15,37,45,69,82,28,82,151
ATCG00120.1,Arabidopsis,Plastid,40,54,42,98,108,131,179,96,206,310
ATCG00130.2 atpf,Arabidopsis,Plastid,21,11,15,16,19,30,39,26,35,69
ATCG00140.1,Arabidopsis,Plastid,4,2,0,3,2,6,12,2,5,18
ATCG00150.1,Arabidopsis,Plastid,4,0,0,6,5,3,4,0,11,7
ATCG00160.1,Arabidopsis,Plastid,14,3,2,7,6,11,7,5,13,18
ATCG00170.1,Arabidopsis,Plastid,15,0,0,1,0,19,11,0,1,30
ATCG00180.2,Arabidopsis,Plastid,3,0,0,0,0,6,3,0,0,9
ATCG00190.2 RPOB,Arabidopsis,Plastid,20,0,0,2,0,12,17,0,2,29
ATCG00270.1,Arabidopsis,Plastid,13,9,7,33,32,35,48,16,65,83
ATCG00280.1,Arabidopsis,Plastid,29,22,23,67,61,109,151,45,128,260
ATCG00330.2 RPS14,Arabidopsis,Plastid,2,2,0,2,1,4,0,2,3,4
ATCG00340.1,Arabidopsis,Plastid,22,24,16,67,84,111,141,40,151,252
ATCG00350.1,Arabidopsis,Plastid,25,19,14,44,28,39,51,33,72,90
ATCG00360.1,Arabidopsis,Plastid,2,0,0,1,2,2,1,0,3,3
ATCG00380.1,Arabidopsis,Plastid,9,3,3,7,7,14,8,6,14,22
ATCG00420.1,Arabidopsis,Plastid,8,0,0,2,3,9,9,0,5,18
ATCG00430.1,Arabidopsis,Plastid,12,1,0,4,6,12,8,1,10,20
ATCG00470.1,Arabidopsis,Plastid,12,5,4,7,8,13,21,9,15,34
ATCG00480.1,Arabidopsis,Plastid,61,49,29,135,162,242,355,78,297,597
ATCG00490.1,Arabidopsis,Plastid,59,92,84,253,234,444,180,176,487,624
ATCG00500.2 ACCD,Arabidopsis,Plastid,21,2,0,11,5,23,11,2,16,34
ATCG00520.1,Arabidopsis,Plastid,7,0,0,0,2,4,6,0,2,10
ATCG00540.1,Arabidopsis,Plastid,23,12,9,27,26,43,63,21,53,106
ATCG00550.1,Arabidopsis,Plastid,1,0,0,0,0,1,1,0,0,2
ATCG00570.2 PSBF,Arabidopsis,Plastid,2,1,0,8,2,2,0,1,10,2
ATCG00580.2 PSBE,Arabidopsis,Plastid,4,6,3,9,13,21,33,9,22,54
ATCG00640.1,Arabidopsis,Plastid,4,4,1,0,0,0,1,5,0,1
ATCG00650.1,Arabidopsis,Plastid,6,1,2,6,7,8,3,3,13,11
ATCG00660.1,Arabidopsis,Plastid,6,0,0,3,1,5,2,0,4,7
ATCG00670.2 CLPP1,Arabidopsis,Plastid,5,1,0,5,7,6,1,1,12,7
ATCG00680.1,Arabidopsis,Plastid,32,36,37,110,108,169,275,73,218,444
ATCG00700.1,Arabidopsis,Plastid,1,1,1,1,0,1,1,2,1,2
ATCG00710.1,Arabidopsis,Plastid,3,2,2,1,1,2,1,4,2,3
ATCG00720.1,Arabidopsis,Plastid,6,3,3,6,8,7,5,6,14,12
ATCG00730.1,Arabidopsis,Plastid,6,3,2,15,19,7,6,5,34,13
ATCG00740.2 RPOA,Arabidopsis,Plastid,6,0,0,3,1,7,4,0,4,11
ATCG00750.1,Arabidopsis,Plastid,7,3,1,5,3,5,5,4,8,10
ATCG00770.1,Arabidopsis,Plastid,9,0,0,7,3,7,4,0,10,11
ATCG00780.1,Arabidopsis,Plastid,14,13,9,10,6,15,7,22,16,22
ATCG00790.1,Arabidopsis,Plastid,4,4,0,3,4,7,3,4,7,10
ATCG00800.1,Arabidopsis,Plastid,22,12,10,13,14,23,16,22,27,39
ATCG00810.1,Arabidopsis,Plastid,8,1,1,4,4,6,3,2,8,9
ATCG00820.1,Arabidopsis,Plastid,5,0,0,2,2,6,3,0,4,9
ATCG00830.1,Arabidopsis,Plastid,13,7,2,14,12,17,16,9,26,33
ATCG00840.2 RPL23,Arabidopsis,Plastid,6,2,1,4,5,10,3,3,9,13
ATCG00860.1,Arabidopsis,Plastid,10,0,0,0,0,10,1,0,0,11
ATCG00890.2 NDHB,Arabidopsis,Plastid,2,0,0,1,1,1,1,0,2,2
ATCG00900.1,Arabidopsis,Plastid,11,1,0,8,9,11,10,1,17,21
ATCG01010.2 NDHF,Arabidopsis,Plastid,14,0,0,5,7,13,11,0,12,24
ATCG01020.1,Arabidopsis,Plastid,2,2,0,0,1,3,2,2,1,5
ATCG01050.2,Arabidopsis,Plastid,3,0,0,1,2,2,0,0,3,2
ATCG01060.1,Arabidopsis,Plastid,9,11,7,7,9,24,15,18,16,39
ATCG01070.1,Arabidopsis,Plastid,1,0,0,1,0,1,1,0,1,2
ATCG01090.1,Arabidopsis,Plastid,8,0,1,3,3,8,7,1,6,15
ATCG01100.1,Arabidopsis,Plastid,4,0,0,3,1,4,4,0,4,8
ATCG01110.1,Arabidopsis,Plastid,18,0,0,13,14,20,22,0,27,42
ATCG01120.1,Arabidopsis,Plastid,7,3,1,5,4,8,5,4,9,13
