"Master Protein Accessions","githago_chloroplast_1","githago_chloroplast_2","githago_mito_1","githago_mito_2","githago_nuclear_1","githago_nuclear_2"
"mito_atp1",54,20,307,296,39,39
"mito_atp4",6,2,46,30,4,5
"mito_atp8",1,1,22,21,4,4
"mito_cox2",2,1,16,17,3,3
"plastid_accD",12,12,1,5,9,9
"plastid_atpA",102,106,28,15,69,52
"plastid_atpB",261,237,24,26,99,90
"plastid_atpE",14,15,3,1,13,9
"plastid_atpF",28,28,7,12,17,13
"plastid_atpH",15,5,0,0,5,2
"plastid_atpI",2,1,1,0,6,4
"plastid_clpP",1,3,1,1,6,8
"plastid_ndhA",6,6,0,0,2,3
"plastid_ndhB",2,2,0,0,1,0
"plastid_ndhD",1,1,0,0,1,1
"plastid_ndhF",11,13,0,0,4,6
"plastid_ndhH",17,18,0,0,14,11
"plastid_ndhI",7,9,0,0,7,6
"plastid_ndhJ",11,11,0,0,6,6
"plastid_ndhK",15,14,0,0,8,6
"plastid_petA",43,44,8,8,25,21
"plastid_petB",8,6,1,1,7,9
"plastid_petD",6,8,0,0,7,6
"plastid_psaA",45,50,7,4,28,23
"plastid_psaB",138,121,9,8,79,79
"plastid_psaC",22,24,4,7,11,6
"plastid_psbA",54,53,8,9,31,32
"plastid_psbB",128,135,15,13,88,60
"plastid_psbC",85,84,9,9,46,40
"plastid_psbD",36,30,5,4,33,29
"plastid_psbE",15,12,3,3,6,5
"plastid_psbF",3,1,1,1,6,3
"plastid_psbH",1,3,0,1,1,1
"plastid_psbJ",1,1,0,0,1,0
"plastid_rbcL",298,344,144,143,394,280
"plastid_rpl14",9,10,10,10,9,9
"plastid_rpl16",7,9,3,2,9,6
"plastid_rpl2",16,19,5,4,13,12
"plastid_rpl20",4,6,0,0,5,5
"plastid_rpl22",8,15,3,3,16,10
"plastid_rpl32",2,3,2,0,2,1
"plastid_rpl33",1,0,3,4,0,0
"plastid_rpl36",1,0,1,1,0,0
"plastid_rpoA",6,7,0,0,5,6
"plastid_rpoB",5,11,0,0,0,2
"plastid_rpoC1",5,3,0,0,5,1
"plastid_rpoC2",10,11,0,0,6,5
"plastid_rps11",7,7,2,2,7,6
"plastid_rps12",3,3,3,2,3,3
"plastid_rps14",5,4,3,2,6,5
"plastid_rps15",3,5,1,0,5,3
"plastid_rps16",7,6,2,1,6,7
"plastid_rps18",10,11,2,2,8,8
"plastid_rps19",9,8,3,0,9,5
"plastid_rps2",7,16,3,2,13,18
"plastid_rps3",15,10,2,3,18,13
"plastid_rps4",14,17,3,3,15,12
"plastid_rps7",10,10,3,0,10,11
"plastid_rps8",6,6,2,0,5,7
"plastid_ycf1",44,46,10,9,39,40
"plastid_ycf2",16,17,0,0,10,12
"plastid_ycf3",3,5,0,1,5,4
"plastid_ycf4",7,4,1,0,4,3
"transcript/100031.p1",5,6,84,84,31,26
"transcript/100115.p1",2,1,0,0,2,2
"transcript/100216.p1",1,0,0,0,0,1
"transcript/100227.p1",3,14,37,32,51,10
"transcript/100229.p1",1,0,0,0,0,0
"transcript/100247.p1",6,6,1,0,2,2
"transcript/100274.p1",2,0,0,0,4,4
"transcript/100298.p1",9,2,0,0,1,1
"transcript/100321.p1",6,9,5,6,9,5
"transcript/100327.p1",2,2,0,0,1,0
"transcript/100351.p1",1,0,0,0,0,0
"transcript/100378.p1",1,0,43,37,2,4
"transcript/100397.p1",3,2,0,0,3,2
"transcript/100428.p1",7,15,1,0,11,10
"transcript/100502.p1",3,3,7,7,0,0
"transcript/100581.p1",2,2,0,0,2,3
"transcript/100604.p1",4,2,0,0,1,2
"transcript/100726.p1",1,1,0,0,1,0
"transcript/100733.p1",5,3,2,2,11,3
"transcript/100768.p1",8,9,0,0,7,3
"transcript/100782.p1",6,5,0,0,5,6
"transcript/100832.p1",2,0,0,0,0,0
"transcript/100889.p1",2,1,0,4,0,5
"transcript/100922.p1",12,8,1,0,5,5
"transcript/100933.p1",35,20,128,112,22,19
"transcript/100940.p1",6,6,0,0,6,0
"transcript/100954.p1",3,2,0,0,3,0
"transcript/100966.p1",2,4,12,1,1,2
"transcript/101081.p1",10,10,0,0,7,4
"transcript/101083.p1",4,2,0,0,4,1
"transcript/101133.p1",9,10,0,0,9,10
"transcript/101264.p1",1,0,14,10,7,2
"transcript/101315.p1",3,3,0,0,2,3
"transcript/101349.p1",1,0,0,0,0,0
"transcript/101369.p1",9,9,0,0,10,9
"transcript/101387.p1",1,0,0,0,1,1
"transcript/101390.p1",12,16,0,1,11,13
"transcript/101405.p1",1,1,0,0,0,0
"transcript/101417.p1",15,22,5,4,22,15
"transcript/10142.p1",1,0,0,0,0,1
"transcript/101420.p1",4,1,8,10,5,5
"transcript/101438.p1",3,0,3,0,0,1
"transcript/101467.p1",12,9,0,0,4,5
"transcript/101481.p1",2,2,0,0,1,0
"transcript/101526.p1",19,18,0,0,8,11
"transcript/10153.p1",38,47,0,1,46,37
