"Master Protein Accessions","arabidopsis_chloroplast_1","arabidopsis_chloroplast_2","arabidopsis_mito_1","arabidopsis_mito_2","arabidopsis_nuclear_1","arabidopsis_nuclear_2"
"AT1G01080.1",13,7,0,0,7,8
"AT1G01090.1",14,3,0,0,5,5
"AT1G01790.1",18,7,2,2,7,12
"AT1G02150.1",4,0,0,0,1,1
"AT1G02280.1",4,1,2,1,0,1
"AT1G02475.1",4,3,2,0,1,1
"AT1G02500.1",1,0,1,1,3,1
"AT1G02560.1",13,8,0,0,8,7
"AT1G02780.1",1,2,6,6,9,9
"AT1G02910.1",9,18,0,0,4,2
"AT1G02930.1",1,1,2,8,5,5
"AT1G03030.1",3,3,0,0,0,1
"AT1G03130.1",1,1,0,0,40,41
"AT1G03160.1",29,41,0,0,8,11
"AT1G03310.1",3,1,0,0,2,3
"AT1G03475.1",28,14,0,0,17,14
"AT1G03600.1",14,16,14,12,10,7
"AT1G03630.1",31,23,8,10,8,7
"AT1G03680.1",7,6,1,0,10,6
"AT1G04210.1",1,1,0,0,1,0
"AT1G04410.1",3,3,13,5,8,7
"AT1G04420.1",11,4,0,0,8,11
"AT1G04620.1",15,16,0,0,4,6
"AT1G04820.1",3,2,3,1,2,1
"AT1G04940.1",1,1,0,0,0,0
"AT1G05030.1",1,1,0,0,0,0
"AT1G05140.1",4,4,0,0,0,0
"AT1G05190.1",21,16,13,10,14,17
"AT1G05320.1",2,0,0,0,0,0
"AT1G05385.1",1,5,0,0,2,3
"AT1G06130.1",3,0,10,6,1,3
"AT1G06190.1",7,8,0,0,2,1
"AT1G06430.1",10,16,0,0,7,7
"AT1G06510.1",4,0,0,0,1,1
"AT1G06680.1",123,144,10,6,60,56
"AT1G06690.1",10,5,2,0,6,8
"AT1G06820.1",12,7,0,0,2,1
"AT1G06950.1",56,29,16,10,24,23
"AT1G07040.1",5,1,9,2,3,1
"AT1G07140.1",1,0,0,0,5,4
"AT1G07320.1",21,12,2,1,12,11
"AT1G07700.1",5,1,0,0,2,1
"AT1G07890.1",2,3,5,8,24,24
"AT1G07920.1",11,11,51,44,44,36
"AT1G08110.1",8,3,3,2,8,9
"AT1G08380.1",1,1,0,0,2,2
"AT1G08490.1",2,1,0,0,3,0
"AT1G08520.1",31,4,3,2,7,5
"AT1G08530.1",1,0,0,0,0,0
"AT1G08550.1",12,18,0,0,5,4
"AT1G08640.1",5,4,1,0,2,5
"AT1G08670.1",1,0,0,0,0,0
"AT1G08880.1",1,1,7,4,1,0
"AT1G09130.1",10,6,1,0,8,8
"AT1G09210.1",1,0,4,3,13,10
"AT1G09340.1",53,31,33,29,42,34
"AT1G09430.1",1,1,1,0,4,3
"AT1G09590.1",2,1,6,5,5,4
"AT1G09795.1",11,5,0,0,6,6
"AT1G09830.1",9,2,0,0,8,8
"AT1G10200.1",1,2,4,3,5,2
"AT1G10310.1",1,0,7,3,2,2
"AT1G10510.1",14,9,2,0,6,7
"AT1G10522.1",1,1,0,0,1,2
"AT1G10700.1",1,0,0,0,0,1
"AT1G10760.1",33,22,0,0,27,45
"AT1G10830.1",4,1,0,0,1,0
"AT1G11430.1",2,1,1,1,1,0
"AT1G11580.1",1,1,1,0,1,3
"AT1G11720.1",8,2,0,0,1,2
"AT1G11750.1",8,5,0,0,5,7
"AT1G11860.1",13,11,201,150,26,27
"AT1G11870.1",8,1,3,2,3,2
"AT1G11930.1",1,0,0,0,4,4
"AT1G12230.1",8,9,2,0,5,2
"AT1G12250.1",11,11,0,0,5,8
"AT1G12410.1",5,4,0,1,2,2
"AT1G12520.1",3,0,0,0,3,1
"AT1G12800.1",12,2,0,0,8,0
"AT1G12840.1",2,2,18,11,14,18
"AT1G12900.1",11,12,4,3,9,11
"AT1G13270.1",4,5,0,1,2,2
"AT1G13280.1",5,4,5,4,2,3
"AT1G13440.1",18,15,1,3,13,18
"AT1G13820.1",1,1,0,0,1,0
"AT1G13930.1",1,5,12,12,21,24
"AT1G14030.1",14,6,0,0,6,6
"AT1G14150.1",3,3,0,0,3,3
"AT1G14270.1",1,2,0,0,1,1
"AT1G14310.1",1,0,1,0,0,0
"AT1G14345.1",4,3,0,0,2,1
"AT1G14410.1",3,4,0,0,2,1
"AT1G14810.1",11,10,0,0,10,11
"AT1G15060.1",3,1,3,1,1,1
"AT1G15140.1",14,5,0,0,5,9
"AT1G15390.1",1,0,1,0,2,0
"AT1G15500.1",1,0,0,0,0,0
"AT1G15690.1",8,4,19,20,28,23
"AT1G15710.1",3,0,0,0,1,0
"AT1G15730.1",8,0,0,0,0,0
"AT1G15820.1",35,59,13,12,22,27
"AT1G15980.1",12,13,0,0,12,8
"AT1G16080.1",11,3,0,0,11,7
"AT1G16720.1",17,10,0,0,11,12
"AT1G16790.1",3,5,0,0,2,1
"AT1G16880.1",12,5,1,0,15,10
"AT1G17050.1",6,0,0,0,4,4
"AT1G17147.1",1,1,0,0,0,1
"AT1G17160.1",2,1,0,0,2,1
"AT1G17220.1",18,3,1,1,9,7
"AT1G17290.1",2,1,17,14,9,15
"AT1G17650.1",8,2,3,4,5,5
"AT1G17745.1",6,9,0,1,4,1
"AT1G18060.1",3,3,0,0,1,0
"AT1G18080.1",1,2,10,6,12,7
"AT1G18170.1",7,9,0,0,4,4
"AT1G18360.1",1,2,0,0,0,0
"AT1G18485.1",2,0,0,0,0,0
"AT1G18500.1",2,7,0,0,5,2
"AT1G18640.2",4,4,0,0,2,4
"AT1G18730.1",2,4,0,0,2,4
"AT1G18830.1",1,0,0,0,0,0
"AT1G19150.1",5,5,0,0,4,3
"AT1G19570.1",8,5,12,6,24,22
"AT1G19740.1",1,0,0,0,0,0
"AT1G19800.1",1,1,0,0,1,1
"AT1G19835.1",1,0,0,0,0,0
"AT1G19920.1",2,0,0,0,3,7
"AT1G20020.1",21,28,3,2,18,16
"AT1G20340.1",22,17,1,1,9,8
"AT1G20440.1",6,5,7,3,27,16
"AT1G20450.1",4,4,5,5,18,11
"AT1G20620.1",27,27,60,38,21,32
"AT1G20810.1",5,7,0,0,5,3
"AT1G20816.1",1,1,0,0,0,0
"AT1G20830.1",3,2,0,0,0,0
"AT1G21065.1",1,0,3,1,3,1
"AT1G21350.1",1,0,0,0,1,0
"AT1G21440.1",6,3,0,0,5,5
"AT1G21500.1",7,7,2,0,3,4
"AT1G21600.1",7,4,0,0,1,1
"AT1G21640.1",2,0,0,0,0,1
"AT1G21750.1",4,1,14,11,26,20
"AT1G22300.1",1,1,2,4,13,15
"AT1G22410.1",3,3,1,0,5,0
"AT1G22450.1",1,1,15,15,6,7
"AT1G22630.1",2,0,0,0,0,0
"AT1G22700.1",6,8,0,0,1,4
"AT1G22850.1",4,5,0,0,1,0
"AT1G22940.1",8,2,0,0,7,8
"AT1G23180.1",5,0,0,0,1,1
"AT1G23290.1",1,1,5,0,5,5
"AT1G23310.1",12,7,24,23,25,23
"AT1G23740.1",21,16,1,0,20,18
"AT1G24360.1",13,11,5,4,11,11
"AT1G24490.1",4,8,0,0,1,1
"AT1G25220.1",5,1,0,0,0,0
"AT1G26090.1",6,7,0,0,5,5
"AT1G26160.1",2,3,0,0,0,0
"AT1G26220.1",1,0,0,0,1,1
"AT1G26230.1",4,0,0,0,0,1
"AT1G26480.1",1,0,0,0,0,0
"AT1G26570.1",1,0,0,2,0,0
"AT1G26630.1",1,2,2,1,7,4
"AT1G26880.1",1,1,3,0,1,1
"AT1G27300.1",1,0,0,0,0,0
"AT1G27400.1",1,2,1,2,1,6
"AT1G27450.1",8,7,0,0,6,9
"AT1G28140.1",5,6,0,0,0,1
"AT1G28150.1",1,1,0,0,1,0
"AT1G28520.1",1,0,0,0,0,0
"AT1G28530.1",1,0,0,0,0,0
"AT1G29040.1",1,0,0,0,0,0
"AT1G29070.1",1,0,0,0,0,0
"AT1G29670.1",5,3,10,8,11,10
"AT1G29700.1",3,2,0,0,3,4
"AT1G29840.1",1,0,0,0,0,1
"AT1G29900.1",31,20,0,0,23,20
"AT1G29920.1",17,33,6,6,1,0
"AT1G30120.1",3,2,0,1,2,2
"AT1G30170.1",1,0,0,0,1,1
"AT1G30230.1",1,0,2,3,8,7
"AT1G30380.1",4,9,9,3,4,2
"AT1G30510.1",4,4,1,0,0,1
"AT1G31160.1",5,3,7,6,4,4
"AT1G31170.1",1,1,1,1,1,1
"AT1G31180.1",9,6,0,0,5,9
"AT1G31190.1",7,5,0,0,4,5
"AT1G31220.1",5,3,0,0,0,0
"AT1G31230.1",15,4,0,0,5,9
"AT1G31330.1",25,30,13,12,17,17
"AT1G31410.1",2,0,0,0,0,0
"AT1G31800.1",13,0,0,0,1,1
"AT1G31812.1",1,0,3,2,6,4
"AT1G31860.1",4,2,0,0,3,1
"AT1G32030.1",3,0,0,0,0,0
"AT1G32060.1",36,24,7,5,29,33
"AT1G32080.1",4,2,2,1,4,3
"AT1G32160.1",4,0,0,0,3,4
"AT1G32200.1",12,4,0,0,11,7
"AT1G32220.1",8,7,2,0,4,5
"AT1G32440.1",6,1,0,0,2,3
"AT1G32470.1",9,7,47,44,20,12
"AT1G32500.1",9,5,0,0,6,3
"AT1G32520.1",2,0,0,0,0,2
"AT1G32550.1",1,1,0,0,0,1
"AT1G32900.1",18,37,0,0,0,7
"AT1G32990.1",15,6,3,2,10,9
"AT1G33140.1",2,4,8,5,19,13
"AT1G33290.1",1,0,0,0,0,0
"AT1G33330.1",1,0,0,0,0,0
"AT1G33590.1",6,11,3,0,17,12
"AT1G33780.1",3,0,0,0,1,0
"AT1G33810.1",5,7,3,2,3,4
"AT1G34000.1",10,11,2,2,7,6
"AT1G34430.1",17,13,1,0,8,6
"AT1G35340.1",3,0,0,0,0,0
"AT1G35420.1",8,4,0,0,5,3
"AT1G35680.1",10,8,2,2,7,6
"AT1G35720.1",8,8,18,18,33,29
"AT1G36280.1",1,0,0,0,0,1
"AT1G36390.1",7,1,0,0,3,2
"AT1G42430.1",1,2,0,0,0,0
"AT1G42960.1",4,3,3,1,3,4
"AT1G42970.1",48,31,17,9,36,41
"AT1G43170.1",7,7,12,14,32,29
"AT1G43560.1",3,3,0,0,3,3
"AT1G44446.1",3,4,0,0,0,0
"AT1G44575.1",28,41,13,12,34,48
"AT1G45170.1",1,0,0,0,0,0
"AT1G45201.1",5,2,7,3,4,10
"AT1G45230.1",1,0,0,0,0,0
"AT1G45474.1",8,11,0,0,9,6
"AT1G47260.1",1,2,35,37,9,15
"AT1G48030.1",2,7,96,50,17,16
"AT1G48350.1",13,5,0,0,8,6
"AT1G48420.1",6,2,6,6,4,12
"AT1G48460.1",3,3,0,0,1,1
"AT1G48520.1",12,3,8,7,7,5
"AT1G48610.1",1,4,22,20,4,4
"AT1G48620.1",1,2,18,18,4,3
"AT1G48850.1",14,10,0,0,9,7
"AT1G48860.1",4,1,0,0,3,2
"AT1G49380.1",2,2,0,0,0,0
"AT1G49560.1",1,0,0,0,0,0
"AT1G49630.1",3,0,0,1,0,1
"AT1G49650.1",1,0,2,1,2,2
"AT1G49750.1",2,10,2,0,8,7
"AT1G49970.1",8,7,0,0,5,4
"AT1G49975.1",7,6,1,0,3,3
"AT1G50020.1",1,2,0,0,0,0
"AT1G50170.1",1,0,0,0,0,0
"AT1G50250.1",22,35,1,0,11,9
"AT1G50320.1",4,0,0,0,2,4
"AT1G50450.1",10,15,0,0,6,6
"AT1G50480.1",2,1,4,4,14,18
"AT1G50900.1",5,3,0,0,2,1
"AT1G51060.1",1,1,4,7,1,1
"AT1G51100.1",6,0,0,0,2,2
"AT1G51110.1",13,15,0,0,5,5
"AT1G51400.1",3,2,1,1,0,1
"AT1G51560.1",2,2,0,0,1,0
"AT1G52000.1",5,4,12,7,13,10
"AT1G52040.1",9,7,18,15,12,6
"AT1G52220.1",6,6,0,0,4,4
"AT1G52230.1",3,0,0,0,9,5
"AT1G52315.1",1,0,0,0,0,0
"AT1G52400.1",22,25,40,33,14,16
"AT1G52410.1",4,8,0,0,19,27
"AT1G52510.1",12,7,1,0,5,9
"AT1G52570.1",1,0,0,0,0,0
"AT1G52590.1",1,2,0,0,0,1
"AT1G52670.1",3,2,0,0,2,0
"AT1G53120.1",2,0,0,1,0,1
"AT1G53210.1",1,1,6,5,9,6
"AT1G53240.1",3,2,42,26,8,9
"AT1G53280.1",3,2,0,1,7,10
"AT1G53520.1",3,3,0,0,2,3
"AT1G53670.1",4,0,2,0,1,1
"AT1G54270.1",2,3,3,13,1,5
"AT1G54350.1",3,8,0,0,2,3
"AT1G54500.1",7,7,0,0,5,4
"AT1G54520.1",4,7,0,0,3,1
"AT1G54570.1",3,4,0,0,0,1
"AT1G54780.1",26,35,7,5,15,16
"AT1G55060.1",4,0,0,0,0,0
"AT1G55160.1",1,0,16,10,5,5
"AT1G55450.1",3,0,7,7,3,3
"AT1G55480.1",30,29,2,3,22,17
"AT1G55490.1",14,8,7,7,7,8
"AT1G55670.1",8,8,9,9,4,4
"AT1G55805.1",1,0,5,4,0,0
"AT1G55980.1",1,0,0,2,3,2
"AT1G56050.1",10,5,9,7,6,4
"AT1G56070.1",5,7,45,43,52,46
"AT1G56190.1",12,7,0,0,14,10
"AT1G56200.1",2,1,0,0,0,0
"AT1G56340.1",1,2,4,2,10,8
"AT1G56500.1",33,47,0,0,18,17
"AT1G57770.1",9,1,0,0,4,6
"AT1G58080.1",2,1,0,0,2,1
"AT1G58270.1",1,2,7,4,3,2
"AT1G58290.1",8,5,0,0,2,1
"AT1G59840.1",6,5,0,0,0,3
"AT1G59990.1",3,0,0,0,0,0
"AT1G60000.1",3,0,0,0,1,2
"AT1G60950.1",2,0,0,0,0,1
"AT1G60990.1",2,0,0,0,1,0
"AT1G61520.1",38,53,8,10,25,34
"AT1G62180.1",6,0,0,0,0,2
"AT1G62480.1",3,0,0,0,17,8
"AT1G62640.1",3,4,0,0,3,3
"AT1G62750.1",42,22,2,0,33,23
"AT1G62780.1",10,5,0,0,4,5
"AT1G62850.2",1,0,0,0,0,0
"AT1G63080.1",1,0,0,0,0,0
"AT1G63610.1",2,0,0,0,3,0
"AT1G63680.1",8,4,0,0,1,0
"AT1G63770.1",22,10,8,5,23,22
"AT1G63940.1",17,12,26,26,13,10
"AT1G63970.1",3,2,1,0,3,4
"AT1G64150.1",1,1,0,0,0,0
"AT1G64190.1",12,7,0,0,3,4
"AT1G64200.1",2,0,1,0,1,0
"AT1G64355.1",2,4,0,0,1,0
