Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
AT1G01050.1	2	3	0	20895991.32	340536500	251984510	56875791.51	45299561.04	0	0	168095860	251984510	0	0
AT1G01080.1	14	35	2187003335.77	554415338.946	2163210366	2164582009.949	417254489.063	618136362.55	1571612866.06	174635152.816	1182363230	1808578748.28	0	0
AT1G01090.1	12	24	1923516329.09	526478632.09	964673072	955494219.67	550236447.084	867393392.325	1508810388.69	336248025.04	244486552	583701939.36	0	0
AT1G01100.1	1	4	0	0	50186676	0	0	91835652.2	0	0	50186676	0	0	91835652.2
AT1G01140.1	1	1	0	0	26988270	26761006.71	27151185.98	12555421.94	0	0	0	26761006.71	0	0
AT1G01170.1	9	25	106660550.688	111271263.755	918792404	1112038370.84	12475197646.3	9330046097.6	0	0	563003576	993332310.84	11987750247.8	9330046097.6
AT1G01290.1	4	5	0	0	0	10143674.31	476562067.11	461912499.49	0	0	0	0	291714555.52	423771593.24
AT1G01300.1	2	2	0	3541547.674	213797296	166527115.32	32537980.424	25655524.89	0	0	85142544	98867289.43	0	0
AT1G01320.1	4	7	24740267.33	0	181883988	117848792.38	77088262.95	103125671.97	0	0	141214396	37283192.25	77088262.95	22181403.15
AT1G01370.1	4	5	0	0	0	0	633343154.61	807952499.44	0	0	0	0	633343154.61	0
AT1G01420.1	3	3	72581247.46	0	48182805	132866483.67	0	0	0	0	0	132866483.67	0	0
AT1G01470.1	4	5	5328717.422	0	1755432768	1300927148.679	99881594.7	85446047.26	0	0	1005941760	799787514.1	60144084.04	0
AT1G01620.1	2	4	0	0	688616208	145978537.4	36553602.74	104461336.1	0	0	688616208	145978537.4	36553602.74	0
AT1G01725.1	4	9	11810037.045	19300049.332	37471623	102154897.07	852624775.98	989147954.07	0	12171658.64	0	29629725.04	852624775.98	907298200.93
AT1G01790.1	17	36	1418785742.1	461670193.34	1287117741	1631094429.766	427432148.646	392149709.39	1230969541.18	199756789.71	493004276	1071832603.56	45563135.53	0
AT1G01800.1	6	10	37522502.261	46249924.07	1031631256	1354352972.8	52394472.781	48747888.17	0	0	1031631256	562202284.2	0	19361107.67
AT1G01820.1	3	6	19106898.27	0	194130648	206498688.08	369872516.517	242381350.9	0	0	156428792	0	363027282.97	227282448.69
AT1G01900.1	1	1	0	4661447.619	18562710	27473085.89	0	0	0	0	18562710	0	0	0
AT1G01910.1	2	3	0	0	97807332	74005465.44	17233645.6	88372356.442	0	0	97807332	39988562.3	0	0
AT1G01960.1	4	5	13011096.66	0	128434238	125306054.18	10130997.45	0	0	0	89163346	63415138.13	0	0
AT1G02090.1	2	2	0	0	64075748	46157808.66	0	0	0	0	64075748	0	0	0
AT1G02100.1	1	1	0	0	22270484	21483110.14	0	0	0	0	0	21483110.14	0	0
AT1G02120.1	1	1	0	0	20395104	24683876.13	26665643.11	32569570.29	0	0	20395104	0	0	0
AT1G02130.1	2	3	0	39159977.97	290368848	253772766.86	0	48723766.27	0	39159977.97	68498704	77583780.66	0	0
