Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
	1	2	0	0	25610417.01	0	41270188	72708151.6	0	0	0	0	41270188	72708151.6
mito_atp1	66	760	14595451220.541	8032287520.187	69557122632.619	76772261436.7536	1503618404591.5	1677599235949.31	12133099498.8	5309466867.037	66899189470.6	68522896700.13	1503618404591.5	1675527032971.12
mito_atp4	11	92	507122699.28	375680095.13	4281524368.041	5470809966.293	54368252214	47563384491.73	306380360.33	188786313.17	2814412893.51	5178574003	54368252214	32764891303.73
mito_atp8	13	53	234792396.837	239086511.334	3271145724	3544085935.95	46709568180	57555791804.98	43255248.96	45827544.21	2967067627.7	3337343202.6	46709568180	48336548943.98
mito_ccmFn	1	2	0	0	105881281.7	0	128026800	178772048.5	0	0	0	0	128026800	178772048.5
mito_cob	2	5	0	0	417839946.6	679372732	4048855040	5246867072.7	0	0	417839946.6	570982331.6	4048855040	5246867072.7
mito_cox1	1	1	0	0	0	0	103419256	59978994.75	0	0	0	0	103419256	0
mito_cox2	11	41	255836114.36	222699049.15	3007758471.21	3931147593.98	43171068892	40531262437.91	174644176.59	161659291.8	2913416795.2	3474663790.6	42544370652	38636781520.31
mito_cox3	3	5	0	0	38403714.25	97631076.64	574233396	654977253.24	0	0	14947682.76	68247537.95	0	628015748.2
mito_nad1	3	7	0	0	234484368.9	443013427.2	1162846464	1101391391.08	0	0	0	160880847.5	556215680	1101391391.08
mito_nad2	4	8	163663745.2	0	302977400.53	333118499.2	3306586136	4752805524.2	0	0	0	0	3306586136	4752805524.2
mito_nad3	1	4	0	0	84319546.92	36553601.34	1338623360	1722789767	0	0	84319546.92	0	1338623360	1722789767
mito_nad4	2	5	0	0	198472782.7	381495264.15	282338736	376593059.59	0	0	198472782.7	0	282338736	376593059.59
mito_nad5	7	13	9774133.199	0	738489176.97	899162473	4227899488	5506186987.85	0	0	323320034.6	237029948	3143271936	3641947448.85
mito_nad6	1	2	27256624.35	0	204469591.5	250434489.7	3539865344	5161388584	0	0	0	0	3539865344	5161388584
mito_nad7	19	73	290677261.1	101809292.31	2868005623.17	3532759364.92	62214726462	56269412868.317	0	0	1881177578.9	2461785043.2	49911675774	48892718197.51
mito_nad9	19	76	448677287.65	711050191.31	3898044374.47	4072698325.31	68733873411	78513337093.3	0	0	2027041228.4	2256438636.8	68733873411	78513337093.3
mito_rpl5	5	9	0	0	714988379.54	1140663706.66	1733781536	1375732884.3	0	0	0	0	1733781536	1375732884.3
mito_rps3	22	37	46568772.506	248548736.92	1475646142.93	1554686483.87	7159766064	5840264271.53	0	0	0	0	6469666936	4561789666.54
mito_rps7	5	11	73111059.805	73910450.99	68838080.47	66941390.81	2274171328	2775748836.92	0	0	0	0	2140613032	1329416280.8
plastid_accD	13	45	2846571837.12	3313362452.94	1790113194.86	1920223403.123	588774966	727576264.96	2846571837.12	2939882343.84	1360553224.58	1712894741.733	76746104	501322879.94
plastid_atpA	34	369	930098921575.03	1001538681721.78	341647998872.99	319830561709.24	13143621799	13755999877.32	881808855764.64	1001410241802.7	315631437766.12	276657652265	11773488767	11065186748.46
plastid_atpB	48	758	1642905221346.71	1378372582693.37	450186512548.47	382120420141.82	18145761933	14230328535.687	1642905221346.71	1378130168492.77	438161097534.18	378628886637.19	15548824909	11551839519.54
plastid_atpE	9	58	90069863955.1	98508695847.5	28305364943.78	20459297617.2	473135687	175403139.31	90069863955.1	98508695847.5	28248694561.2	18607638891.2	408343788	0
plastid_atpF	18	109	151267593925.4	169461983609.8	51314816726.928	48353152919.2	2272196628	2726535353.32	120838756888.4	142776887501.8	34237732196	41675688733.1	1091044928	1945970632.35
plastid_atpH	3	27	339623098.65	113764905.544	155586523.97	94965591.839	542580352	13025641.78	339623098.65	111896542.15	136276164.91	35183513.329	0	0
plastid_atpI	4	15	6379007056.97	5585522651.25	4429797861.6	2285306749.48	80979469	22796164.95	6325376346.35	5585522651.25	760703824.6	2261554767.93	80979469	0
plastid_ccsA	1	1	36358091.69	40019238.28	63482433.95	80896756.7	0	0	0	40019238.28	0	0	0	0
plastid_clpP	3	16	1579314998.2	2418040316.71	2791034954.1	3139824125.6	160214908	127138569.5	1008616387	2321948236.5	2791034954.1	3139824125.6	101168152	127138569.5
plastid_ndhA	6	14	4472569153	3158031862.5	1992191572.2	2317395158.2	51068518	60515487.76	3900724073.8	1876103672.7	278019689.9	883636723.8	0	0
plastid_ndhB	2	5	750462284.4	662131946.04	253582314.46	230669294.02	279699112	0	635480587	630195314.6	37526622.06	0	0	0
plastid_ndhD	2	4	0	221310130.02	57288015.26	146828287.5	0	0	0	150866208.5	0	146828287.5	0	0
plastid_ndhF	14	34	5205965756.26	3540896287.38	1780435830.34	1944195194.3	0	73810531.69	4835662870.83	3381828273.81	368980612.4	1421794410.98	0	0
plastid_ndhH	16	59	11672715092.41	8956493710.69	6827250314.28	5407655771.9	1150541679.5	885634614.74	11093104236.77	8893890618.36	6473520934.1	3748814476.22	0	0
plastid_ndhI	8	28	5898366405.39	5229790486.8	3339743598.82	3082114740.19	83824296	271639611.69	5082973988.79	5229790486.8	2635728361.7	2634406284.26	0	0
plastid_ndhJ	10	33	3553514746.94	3920180750.8	4048444845	4268717881.4	141284559	78943568.29	3136282679.04	3404114552.9	1585150330	1318469787.5	0	0
plastid_ndhK	12	47	7514524905.2	6603582473.82	4111094352.31	3208475965.66	209169576	219379021.33	7514524905.2	6421598709.42	1602893786.79	1812272271.8	0	0
plastid_petA	22	143	260064581475.85	208781204259.42	86459481907.9	83890725985.2	2727443564	1445298797.01	258231135614.85	208781204259.42	84174615135.8	71085192963.5	1791643682	883794056.33
plastid_petB	5	26	45931181748.8	40091678870.3	31592264069.223	33027647160.48	829919936	952309071.4	45752321363	39959383126	31582927326.1	33027647160.48	205517824	952309071.4
plastid_petD	4	31	39595169477	30872962603.162	21890857258.03	15847278536.77	336992956	65273216.859	39595169477	30866727886	21890857258.03	15847278536.77	199046560	28500335.09
plastid_psaA	21	156	756542125478.57	547596737754.982	158175867916.575	165356375411.071	3687204672	3729347582.14	685346312437	547400587347.4	157930277213.7	130955541415.366	2332862888	974814906.28
plastid_psaB	19	434	464913631390.6	387102507843.4	132943025159.935	138611319947.041	4095488074	4001789557.573	464690049318.3	387102507843.4	132863761049.785	138561817589.501	2354840812	2784163822.64
plastid_psaC	9	74	188298256479.9	142401724952	34503904312.581	31010638249.08	1725072566	657031312.49	188298256479.9	142401724952	34424821409.36	30877090115.8	1379226802	623038039.01
plastid_psbA	12	192	331550593995.2	300137774275.9	133498387420.95	118462043995.35	4032459124	3539256943.16	331550593995.2	300137774275.9	133426939903	103271884712	3584169196	3476849124.9
plastid_psbB	28	436	651687884278.91	600004264076.62	209190891802.47	194252065710.4	6888978310	8856284215.815	567159718713.8	599847926470.09	190631455976.8	171784822759.9	5188404488	5343750359.4
plastid_psbC	27	273	700470246619.63	651814629257.61	250846559042.67	235080123508.83	4311044152	4377453191.073	629071623771.63	651450290457.2	228695625875.29	233805993500.7	3416123715	3850762461.76
plastid_psbD	12	136	358317494318.58	370669127684.8	159167267836.4	157840495907.6	3429814608	4308784396.34	358296058893	370643264254.1	159100687530.9	143006452074.6	3387252096	4201523611.8
plastid_psbE	4	44	157889831841	155760843621	61952471884.9	53764683595.79	1626592976	2176233110.7	157889831841	155760843621	61810475568	53679903732	1364021248	1858311423
plastid_psbF	3	15	11170667916.8	11150268412.77	8938272728.36	5449425957	1565155264	2070366253.6	11059475224	11053926416	8938272728.36	5449425957	875823360	2070366253.6
plastid_psbH	3	22	32864586078.6	49246883171	14671470675	9667125918	577708464	729601878.4	32864586078.6	49246883171	14671470675	9667125918	238246096	729601878.4
plastid_psbJ	1	3	861229319	596404731.5	239555189.3	135178947.5	0	0	861229319	596404731.5	239555189.3	0	0	0
plastid_psbL	2	6	331819624.51	226533338.7	67961352.28	24813112.62	0	0	331819624.51	226533338.7	20936981.25	0	0	0
plastid_psbN	1	1	468019143.4	459141934.1	167541729.2	94158484.16	0	0	0	0	167541729.2	0	0	0
plastid_rbcL	64	1616	1945710603897.91	2449860739439.94	2835733379707.19	2368496700907.64	441993220145.14	311993977837.164	1633989445143.02	2447596880519.82	2815997580790.19	2366543321126.28	411178829513.8	311462185081.49
plastid_rpl14	11	64	13683502890.18	11880341254.31	17244614570.54	15073094898.25	6829221303.5	5820734382.51	13683502890.18	11880341254.31	17174051313.4	14873120428.9	5268258407.5	5226788463.6
plastid_rpl16	7	36	5952984226.45	8995448677.4	11980204787.5	6664049888.1	718909960	605959439.79	5809390056.05	8995448677.4	11980204787.5	4576383426.6	450716352	174075872.7
plastid_rpl2	13	64	11080385355.4	16630440695.4	18213800007.3	17919887329.5	1150141448	1298430424.01	8294459311.2	16630440695.4	16972505897.7	12391719783.3	425957456	622936880.1
plastid_rpl20	8	21	3019179597.33	4012963350.28	9894099635.7	8102712486.79	200121866.5	272096913.481	2531357665.06	3678275186.9	6055268817.7	7289920559.8	0	0
plastid_rpl22	12	53	6597537017.13	8912812686.1	9601440404.93	9025649499.05	733614999	774468777.12	6274040518.6	8667524186.3	9557210019.6	8830884171.2	364897284	353897854.41
plastid_rpl32	3	11	2720798516.3	4572647308.1	5320354629	5243696635	88753640	0	1576034442.3	4572647308.1	2618326325	3831762510	88753640	0
plastid_rpl33	3	7	0	0	20779918.94	126311291.9	381870536	173990700.15	0	0	0	0	280937400	173990700.15
plastid_rpl36	1	3	111075954.1	54664537.38	0	0	615934016	235669134.9	111075954.1	0	0	0	615934016	235669134.9
plastid_rpoA	10	24	916857214.31	1094263910.89	4256957543.53	4973137057.041	33390171	587957220.521	816933395.64	1042057408.57	425745792.7	608826059.1	0	0
plastid_rpoB	12	16	622581449.49	999192368.29	411070442.14	424556755.16	237461210	260383688.374	264655418.03	840513862.71	0	90572887.22	0	0
plastid_rpoC1	8	15	366523438.77	570911590.36	454061117.7	547239545.27	1195611392	1554806353.97	308664081.84	203075685.32	369983090.17	88460739.24	0	88731216.96
plastid_rpoC2	18	29	680489899.52	743589255.9	2025888195.3	1560031034.79	541243515	421101000.72	358333454.98	441554582.97	1406788900.42	1108213748.56	0	0
plastid_rps11	9	31	6762250447.4	6552054222.94	9638069551.79	6921406096.62	1016282074	571074902.35	6514920768.3	6269868469.57	6233597755.55	3814480424.62	229138672	323899885.59
plastid_rps12	6	17	5588155061	6616034699	6500411864.6	6417235587	1739869960	1385857060.54	5588155061	6616034699	4210216656.6	6417235587	709678552	801404634.9
plastid_rps14	6	25	5495907796.5	7901873068.5	9308628913.77	8437231125.66	432807806	508760959.73	3157168415.5	4017436657.9	9201983362.6	8253777792	283902174	280601307.61
plastid_rps15	6	17	3221158629.58	5686509134.67	8087844310.2	7817987347	326640655	370148027	2012225163.4	5639597447.6	7617678808.4	5279863783.7	73932416	0
plastid_rps16	7	29	7155661940.21	10731441952.9	13805979275.7	12829491841.2	1025884874	513353270.63	5410255551.21	6308583233.1	11530409030.9	12829491841.2	600732704	85979883.24
plastid_rps18	7	41	7430067886.2	10079991596.4	11657419838.4	13077287944	384777992	2955322818.9	6411450090.2	10079991596.4	11657419838.4	13077287944	304470664	142795162.8
plastid_rps19	7	34	8264995128.6	10179254840.6	8895974651.3	8099851123.2	630281643.5	660695551.29	8089064653.9	8634800986.6	8895974651.3	7938266318.46	553807714	0
plastid_rps2	15	58	4792754579.45	6294989359.75	8378519434.81	8668210699.62	13543267583	15008824414.49	3982295333.9	5926570879.58	7613399801.73	6793102800.52	378481788	104760391.5
plastid_rps3	14	60	14024473566.82	14612948257.17	21555835506.8	22555676258.5	771969684	813634859.205	13822886508.78	12169280200.17	21555835506.8	22514895152.1	276843232	79247143.84
plastid_rps4	13	66	11840100259.7	16652897165	26573766726.2	24530392691	1243055788	999385546.79	11350377329	15841694069.7	24043345953.1	20563243300.6	728627572	347923713.79
plastid_rps7	11	46	15947531355.8	18134776878.59	24583525588.08	24681332708.18	949286532	570616053.8	12270432214.2	17904071813.7	20464951648.68	24618707063	446618200	0
plastid_rps8	8	34	8366692298.56	10868928746.9	15089684999.5	14172813754.8	779825296	265365873.71	8261753509	9570911123.9	11962286342.5	14172813754.8	653036600	0
plastid_ycf1	62	173	10151303346.77	9877602377.18	9629741853.67	11450723525.32	2582316504.75	2937370893.323	7114958544.18	7542209014.51	6799093588.15	9089732188.15	763222823.75	606504304.55
plastid_ycf2	25	46	1141361746.42	1515894968.48	1303726826.22	1430100876.43	400627005	351464473.807	690816072.25	916660508.16	788197095.68	491264915.71	0	0
plastid_ycf3	7	17	1719302211.3	2520916341.06	3001114963.37	2231230849.22	352668528	221149177.23	1719302211.3	2463403872.4	2938212046.9	1233020678.72	0	86632639.45
plastid_ycf4	7	19	3428634395.62	3269641383.46	2220021024.1	4097069195.4	70835484.5	92876298.6	3428634395.62	1368093697.06	1296889311.5	2004185238.2	46235736	0
transcript/0.p1	18	27	590535809.86	159490887.659	1188351437.715	1326268118.292	1345509765	1224507007.895	0	0	137296630.5	0	1244781520	756285647.5
transcript/10.p1	1	1	0	0	1170002763	1808488833	93057184	0	0	0	0	0	93057184	0
transcript/100005.p1	1	1	0	0	70373453.7	98996850.46	0	0	0	0	0	98996850.46	0	0
