Type,RugenCytosolic,FuchsCytosolic,RugenOrganellar,FuchsOrganellar
TyrRS,0.0E+00,0.00,0.000181904,146.5188755
PheRS,2.5E-06,0.45,4.3E-04,558.69
MetRS,1.2E-06,1.65,0.000263818,506.3061515
TrpRS,2.0E-06,2.29,0.000151404,123.2120674
HisRS,4.8E-07,2.41,8.96045E-05,99.1486118
ArgRS,2.7E-06,3.43,9.10499E-05,113.9477893
IleRS,1.7E-06,3.54,8.0E-05,176.72
CysRS,1.1E-06,4.10,0.000114674,118.9555908
SerRS,2.1E-06,5.81,7.02192E-05,107.5854834
AsnRS,2.8E-06,6.34,8.80667E-05,112.1154533
ProRS,4.4E-06,13.62,0.000218703,210.542234
AspRS,4.9E-06,18.94,0.000118576,125.598753
LysRS,7.0E-06,20.79,0.000160642,111.8783162
GluRS,1.0E-05,50.32,7.52361E-05,59.48799265
ValRS,1.0E-04,91.52,1.02654E-05,4.047525796
AlaRS,6.0E-05,108.98,1.99984E-05,26.40876667
GlyRS,7.7E-05,141.40,5.49336E-05,47.99742199
ThrRS,2.2E-04,202.52,9.34561E-06,1.270391526
LeuRS,2.0E-04,310.89,0.00E+00,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
