Target,Targeting,Type,Accession,arabidopsis_chloroplast_1,arabidopsis_chloroplast_2,arabidopsis_mito_1,arabidopsis_mito_2,arabidopsis_nuclear_1,arabidopsis_nuclear_2,Mitochondrial,Cytosolic,Chloroplast,Rugen2024,Fuchs2020
N,Cyto,GlnRS,AT1G25350.1,0,0,0,0,5,1,0,1,0,0.0E+00,0.00
P,Plastid,LeuRS,AT4G04350.1,5,1,0,0,5,2,0,0,1,0.0E+00,0.00
N,Cyto,TyrRS,AT1G28350.1,0,0,0,0,1,2,0,1,0,0.0E+00,0.00
N,Cyto,HisRS,AT3G02760.1,0,0,0,0,4,2,0,1,0,4.8E-07,2.41
N,Cyto,PheRS,AT1G72550.1,0,0,1,0,8,6,0,1,0,4.9E-07,0.90
N,Cyto,AspRS,AT4G26870.1,0,0,0,0,1,1,0,1,0,5.5E-07,5.62
N,Cyto,CysRS,AT5G38830.1,0,0,0,0,3,3,0,1,0,1.1E-06,4.10
N,Cyto,MetRS,AT4G13780.1,0,0,0,0,7,7,0,1,0,1.2E-06,1.65
N,Cyto,IleRS,AT4G10320.1,0,0,0,1,12,11,0,1,0,1.7E-06,3.54
N,Cyto,TrpRS,AT3G04600.1,0,1,0,0,4,3,0,1,0,2.0E-06,2.29
N,Cyto,PheRS,AT4G39280.1,0,0,0,0,1,4,0,1,0,2.1E-06,0.00
N,Cyto,SerRS,AT5G27470.1,0,0,1,0,9,12,0,1,0,2.1E-06,5.81
N,Cyto,ArgRS,AT1G66530.1,0,0,0,0,1,1,0,1,0,2.7E-06,3.43
N,Cyto,AsnRS,AT5G56680.1,0,0,0,1,10,5,0,1,0,2.8E-06,6.34
N,Cyto,AspRS,AT4G31180.1,1,0,0,2,12,10,0,1,0,4.4E-06,13.32
N,Cyto,ProRS,AT3G62120.1,0,1,1,1,10,7,0,1,0,4.4E-06,13.62
N,Cyto,LysRS,AT3G11710.1,0,1,1,0,12,7,0,1,0,7.0E-06,20.79
M|P,Organellar,ThrRS,AT2G04842.1,11,0,0,0,7,6,1,0,1,9.3E-06,1.27
N,Cyto,GluRS,AT5G26710.1,0,0,0,0,10,8,0,1,0,1.0E-05,50.32
M|P,Organellar,ValRS,AT5G16715.1,12,0,1,0,9,4,1,0,1,1.0E-05,4.05
M|P,Organellar,AlaRS,AT5G22800.1,30,2,0,0,20,10,1,0,1,2.0E-05,26.41
M|P,Organellar,GlyRS,AT3G48110.1,12,3,13,8,10,5,1,0,1,5.5E-05,48.00
M|P|N,Cyto+Organellar,AlaRS,AT1G50200.1,0,0,4,6,20,22,1,1,1,6.0E-05,108.98
M|P,Organellar,SerRS,AT1G11870.1,8,1,3,2,3,2,1,0,1,7.0E-05,107.59
M|P,Organellar,GluRS,AT5G64050.1,13,5,1,1,8,2,1,0,1,7.5E-05,59.49
M|N,Cyto,GlyRS,AT1G29880.1,0,0,6,3,16,17,1,1,0,7.7E-05,141.40
M|P,Organellar,IleRS,AT5G49030.1,16,2,8,2,8,6,1,0,1,8.0E-05,176.72
M|P,Organellar,AsnRS,AT4G17300.1,7,1,3,5,7,2,1,0,1,8.8E-05,112.12
M|P,Organellar,HisRS,AT3G46100.1,5,1,1,2,2,0,1,0,1,9.0E-05,99.15
M|P|N,Cyto+Organellar,ArgRS,AT4G26300.1,11,5,5,3,4,4,1,1,1,9.1E-05,113.95
M|N,Cyto,ValRS,AT1G14610.1,0,0,4,2,12,9,1,1,0,1.0E-04,91.52
M|P,Organellar,CysRS,AT2G31170.1,2,0,15,3,2,2,1,0,1,1.1E-04,118.96
M|P,Organellar,AspRS,AT4G33760.1,7,3,5,3,4,6,1,0,1,1.2E-04,125.60
M|P,Organellar,TrpRS,AT2G25840.1,7,1,5,6,5,4,1,0,1,1.5E-04,123.21
M|P,Organellar,LysRS,AT3G13490.1,3,0,9,2,2,0,1,0,1,1.6E-04,111.88
M|P,Organellar,TyrRS,AT3G02660.1,4,0,2,4,3,5,1,0,1,1.8E-04,146.52
M|N,Cyto+Mito,LeuRS,AT1G09620.1,0,0,11,2,17,16,1,1,0,2.0E-04,310.89
M|P,Organellar,ProRS,AT5G52520.1,13,7,7,5,9,8,1,0,1,2.2E-04,210.54
M|N,Cyto+Mito,ThrRS,AT5G26830.1,0,0,6,4,10,8,1,1,0,2.2E-04,202.52
M|P,Organellar,MetRS,AT3G55400.1,10,0,5,4,3,2,1,0,1,2.6E-04,506.31
M|P,Organellar,PheRS,AT3G58140.1,15,4,8,10,11,12,1,0,1,4.3E-04,558.69
