Target,Targeting,Type,Accession,arabidopsis_chloroplast_1,arabidopsis_chloroplast_2,arabidopsis_mito_1,arabidopsis_mito_2,arabidopsis_nuclear_1,arabidopsis_nuclear_2,Mitochondrial,Cytosolic,Chloroplast,arabidopsis_chloroplast_1_LFQ,arabidopsis_chloroplast_2_LFQ,arabidopsis_mito_1_LFQ,arabidopsis_mito_2_LFQ,arabidopsis_nuclear_1_LFQ,arabidopsis_nuclear_2_LFQ
M|P|N,Cyto+Organellar,AlaRS,AT1G50200.1,0,0,4,6,20,22,1,1,1,0,0,319665186.6,446589398.4,2492860744,3757272434
M|P,Organellar,AlaRS,AT5G22800.1,30,2,0,0,20,10,1,0,1,1437845727,58132223.8,0,0,1593206212,973853973.4
M|P|N,Cyto+Organellar,ArgRS,AT4G26300.1,11,5,5,3,4,4,1,1,1,292700288.9,95656424.73,323259741.6,252799578.5,384826324,439752241.6
N,Cyto,ArgRS,AT1G66530.1,0,0,0,0,1,1,0,1,0,0,0,0,0,35245376,26779286.79
M|P,Organellar,AsnRS,AT4G17300.1,7,1,3,5,7,2,1,0,1,453644874.6,24621487.33,254669361,364810696,498996816,125735419.2
N,Cyto,AsnRS,AT5G56680.1,0,0,0,1,10,5,0,1,0,0,0,0,11666957.6,934357930,540605737.9
M|P,Organellar,AspRS,AT4G33760.1,7,3,5,3,4,6,1,0,1,311775874.6,25799503.13,258404040.1,188920315.9,222403932,315537532.6
N,Cyto,AspRS,AT4G31180.1,1,0,0,2,12,10,0,1,0,20679479.47,0,0,61604323.77,3677604818,2332168252
N,Cyto,AspRS,AT4G26870.1,0,0,0,0,1,1,0,1,0,0,0,0,0,26979014,0
M|P,Organellar,CysRS,AT2G31170.1,2,0,15,3,2,2,1,0,1,90022995.62,0,1177522681,162970756.2,24754326,146735600.7
N,Cyto,CysRS,AT5G38830.1,0,0,0,0,3,3,0,1,0,0,0,0,0,77598292,81473956.64
N,Cyto,GlnRS,AT1G25350.1,0,0,0,0,5,1,0,1,0,0,0,0,0,166644656,73273246.61
M|P,Organellar,GluRS,AT5G64050.1,13,5,1,1,8,2,1,0,1,1237555588,194059523.6,61193406.03,98814290.64,396385592,143698756.3
N,Cyto,GluRS,AT5G26710.1,0,0,0,0,10,8,0,1,0,0,0,0,0,609004892,582096680.9
M|N,Cyto,GlyRS,AT1G29880.1,0,0,6,3,16,17,1,1,0,0,0,362119077.2,230393490.2,2288008124,2486155712
M|P,Organellar,GlyRS,AT3G48110.1,12,3,13,8,10,5,1,0,1,727287346.7,32926399.26,670253749.3,632154178.1,513060912,115503653.5
M|P,Organellar,HisRS,AT3G46100.1,5,1,1,2,2,0,1,0,1,157822190.8,4569316.674,78295028.61,120343385.4,101523584,0
N,Cyto,HisRS,AT3G02760.1,0,0,0,0,4,2,0,1,0,0,0,0,0,245421016,85853245.51
M|P,Organellar,IleRS,AT5G49030.1,16,2,8,2,8,6,1,0,1,524592260.6,15067676.56,607952798.9,164939564.9,448275920,281902284.3
N,Cyto,IleRS,AT4G10320.1,0,0,0,1,12,11,0,1,0,0,0,0,32581124.43,488050572,447857518.5
