Checked,Protein_FDR_Confidence,Master,Accession,Description,q-value,Sum_PEP_Score,Coverage_percent,Peptides,PSMs,UniquePeptides,Aas,MW,calc_pI,Score_Sequest_HT,Num_Peptides,RazorPeptides,Abundance_cp1,Abundance_cp2,Abundance_mt1,Abundance_mt2,Abundance_lf1,Abundance_lf2,Found_cp1,Found_cp2,Found_mt1,Found_mt2,Found_lf1,Found_lf2,ProteinGroups,Modifications
FALSE,High,Master Protein,AT4G33010.1,Chr4:15926852-15931150 REVERSE LENGTH=1037,0,1851.592,76,85,691,49,1037,112.9,6.98,2668.63,85,52,84156510.7,360381364.5,6762207420,16330573207,2491045114,2805742563,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT4G37930.1,Chr4:17831891-17834742 REVERSE LENGTH=517,0,1342.128,85,60,554,46,517,57.4,8.13,2052.74,60,21,57951597.11,100333054.1,6031362124,11898656064,2030734065,1985102745,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT2G26080.1,Chr2:11109330-11113786 REVERSE LENGTH=1044,0,1215.022,57,67,399,31,1044,113.7,6.65,1500.36,67,0,5189609.719,7916338.313,533024327.6,1329578789,232603116,325896351.5,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,AT3G55410.1,Chr3:20541897-20545728 FORWARD LENGTH=1017,0,1102.822,64,82,306,63,1017,115.1,6.93,1069.23,82,20,212464529.1,488919399.4,1236586991,3003976952,817073936,509305203.5,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,AT5G08680.1,Chr5:2821992-2824683 FORWARD LENGTH=559,0,1074.575,77,51,549,49,559,59.8,6.49,1920.86,51,2,2232773511,1982119413,5969857956,11708706339,3822411157,3874207121,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT1G11860.1,Chr1:4001801-4003245 FORWARD LENGTH=408,0,1074.003,88,52,423,52,408,44.4,8.37,1589.33,52,0,85813150.53,147464675.4,5076507864,10336568116,2502218317,1754408972,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT2G39730.1,Chr2:16570951-16573345 REVERSE LENGTH=474,0,1072.861,77,40,662,40,474,51.9,6.15,2685.93,40,0,1278361962,9866524225,440741645.6,1096014427,9695830330,10625238924,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT2G05710.1,Chr2:2141591-2146350 FORWARD LENGTH=990,0,987.398,71,79,313,66,990,108.1,7.17,981.35,79,19,167375118.4,88758647.01,846182572.9,3006992741,1372516867,663818881.7,High,High,High,High,High,High,1,
FALSE,High,Master Protein,ATCG00480.1,ChrC:52660-54156 REVERSE LENGTH=498,0,943.096,90,44,996,42,498,53.9,5.5,3007.9,44,0,26528267450,20160870583,638385629.8,1415987099,17685091794,15714752383,High,High,High,High,High,High,1,
FALSE,High,Master Protein,ATMG01190.2 sp,"P92549 ATPAM_ARATH ATP synthase subunit alpha, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=ATPA PE=1 SV=2 | contains all of the high frequency RNA edits",0,904.352,76,55,521,53,507,55,6.61,1659.15,55,3,2660690277,2480604311,5243701452,11790332204,5636137704,3509439413,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT1G48030.1,Chr1:17717432-17719141 REVERSE LENGTH=507,0,861.682,81,54,277,37,507,54,7.4,1034.08,54,20,35877691.1,52503552.58,1723800860,4986505409,1081641922,955202927.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,ATCG00490.1,ChrC:54958-56397 FORWARD LENGTH=479,0,820.579,75,52,1281,52,479,52.9,6.29,3753.69,52,0,9221980253,46032876261,767293005.6,1988412733,38714858171,46955981302,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT4G26970.1,Chr4:13543077-13548427 FORWARD LENGTH=995,0,784.307,58,62,195,59,995,108.4,7.15,699.16,62,0,24809723.85,7418283.523,402872678.5,1263259527,289611715.5,172915807,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT5G65750.1,Chr5:26304212-26307947 FORWARD LENGTH=1025,0,765.694,68,71,214,52,1025,116.3,7.3,750.61,71,0,26635516.9,16243314.56,208958797.5,567607235.3,123368830.4,101541769.1,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,AT5G04140.1,Chr5:1130031-1138186 FORWARD LENGTH=1622,0,760.673,50,65,269,55,1622,176.6,6.32,926.23,65,10,277870439.8,1560193902,60612063.29,274862299.2,2440645961,2709676300,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT3G23990.1,Chr3:8669013-8672278 FORWARD LENGTH=577,0,712.318,86,57,224,38,577,61.2,5.78,692.48,57,24,22219274.95,76642204.94,822052684.3,2544599048,512670331.4,523297559.6,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,AT3G45140.1,Chr3:16525437-16529233 FORWARD LENGTH=896,0,689.354,77,66,347,65,896,102,5.62,1043.87,66,1,2446201820,8415870099,231267948.4,354355913.3,4351542487,4168758009,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT3G02090.1,Chr3:365624-368526 FORWARD LENGTH=531,0,672.467,72,44,214,44,531,59.1,6.79,785.43,44,0,39249610.56,139979344.6,1687114660,3935475330,774764861.7,659456348.3,High,High,High,High,High,High,1,
FALSE,High,Master Protein,AT5G40450.1,Chr5:16184799-16195513 REVERSE LENGTH=2889,0,664.352,37,72,116,72,2889,322.8,4.3,431.48,72,0,5708341,29647726.66,93059846.66,15273642,179294354.5,350720759.2,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,AT3G17240.1,Chr3:5890278-5892166 REVERSE LENGTH=507,0,656.476,80,45,198,28,507,54,7.03,697.68,45,0,19711106.84,56114316.39,352692193.3,1136031662,329300812.1,149061022.4,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,AT5G37510.1,Chr5:14897490-14900352 FORWARD LENGTH=745,0,655.964,58,53,196,53,745,81.1,6.64,632.98,53,0,64214864.78,17311640,694126261.6,1721941008,658833611.2,279920230.9,Peak Found,Peak Found,High,High,High,High,1,
