Checked,Protein_FDR_Confidence,Master,Accession,Description,q-value,Sum_PEP_Score,Coverage_percent,Peptides,PSMs,UniquePeptides,Aas,MW,calc_pI,Score_Sequest_HT,Num_Peptides,RazorPeptides,Abundance_cp1,Abundance_cp2,Abundance_mt1,Abundance_mt2,Abundance_lf1,Abundance_lf2,Found_cp1,Found_cp2,Found_mt1,Found_mt2,Found_lf1,Found_lf2,ProteinGroups,Modifications
FALSE,High,Master Protein,Chr07-long_reads1.PB.3954.1,Chr07-long_reads1.PB.3954.1,0,2700.318,73,85,1241,85,1051,114.5,6.83,5423.46,85,0,445800688.5,393888671.3,39778627112,71362577324,3854253168,3106068275,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_09629-RA,Sconica_v3_09629-RA,0,1738.772,73,93,425,54,1017,115.5,7.02,1573.09,93,48,623338774.2,986411187.8,7070152725,16503102397,773922418.3,1423209289,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_43370-RA,Sconica_v3_43370-RA,0,1571.738,86,59,903,46,513,56.8,7.66,3634.46,59,21,176189667.3,226832723.3,33253490536,61469318766,4020959878,2749304865,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_57968-RA,Sconica_v3_57968-RA,0,1542.947,71,82,570,53,1064,116.5,7.93,2094.01,82,31,166442274,166144545.1,9499080687,24038238930,1302514409,3280089468,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr03-long_reads1.PB.1187.7,Chr03-long_reads1.PB.1187.7,0,1426.431,66,83,338,44,1017,115.4,6.98,1256.71,83,0,63021187.66,63751988.94,775971075.8,2415033285,100093604.7,186210191.9,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_49354-RA,Sconica_v3_49354-RA,0,1331.241,86,59,666,32,501,53.2,7.17,2501.25,59,29,176347873.9,503824217.8,18979188219,39332432668,2459115582,3046730136,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr04-anno2.g23679.t1,Chr04-anno2.g23679.t1,0,1282.768,75,66,327,66,748,81.4,6.74,1312.11,66,0,360627940.8,355208886.5,5575396991,12066636251,976503121.8,962898255.9,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Sconica_v3_11550-RA,Sconica_v3_11550-RA,0,1277.074,82,50,968,49,554,59.6,6.2,3552.66,50,1,1449837539,2146064319,30973083053,56100097259,5167597539,8733380682,High,High,High,High,High,High,1,
FALSE,High,Master Protein,plastid_rbcL,plastid_rbcL,0,1138.914,73,54,1767,54,475,52.6,6.68,5925.47,54,0,38251116154,30019102321,13889443084,23907034172,61019396028,38271464055,High,High,High,High,High,High,1,
FALSE,High,Master Protein,Chr04-anno2.g31173.t1,Chr04-anno2.g31173.t1,0,1116.42,86,45,496,30,409,44.4,8.66,1957.23,45,21,215605708,122114013.2,21980281181,43347207360,2168489847,2363853381,High,High,High,High,High,High,1,
FALSE,High,Master Protein,mito_atp1,mito_atp1,0,1095.772,74,61,852,56,513,55.5,5.91,3108.13,61,6,2886356624,3462078694,29091520655,56004910574,6664959541,10521642308,High,High,High,High,High,High,1,
