Protein	UniquePeptides	TotalPSMs	Cp1	Cp2	Lf1	Lf2	Mt1	Mt2	Cp1_noPF	Cp2_noPF	Lf1_noPF	Lf2_noPF	Mt1_noPF	Mt2_noPF
Chr01-anno1.g58176.t1	5	10	369509032.19	274510068.13	247934112.307	353374080.1	66535494	57592133.8	342319031.4	217391041.2	156033031.35	0	0	0
Chr01-anno1.g58184.t1	1	1	0	0	67330397.95	27934624.13	0	21155399.06	0	0	67330397.95	0	0	0
Chr01-anno1.g58297.t1	1	1	0	0	10981328.2	0	0	265732985.6	0	0	0	0	0	265732985.6
Chr01-anno1.g58419.t1	2	3	0	16940259.85	235735333.42	1195509064.6	0	0	0	0	192414970.4	1195509064.6	0	0
Chr01-anno1.g58427.t1	9	16	85592447.27	219368292.41	271115398.55	423772662.11	923908750	373637807.76	0	48913229.44	271115398.55	78653898.04	674117758	234010044.25
Chr01-anno1.g58473.t1	2	3	0	0	193381961.3	219469600.9	6120469.5	9006371.293	0	0	59990856.4	219469600.9	0	0
Chr01-anno1.g58654.t1	5	7	66107732.28	93387214.95	3442215806.6	8271210960.2	312657522	271013362.92	0	0	0	0	197912930	218840274.5
Chr01-anno1.g58696.t1	9	15	25799372.297	10496948.3438	956973904.76	2204910787.2	34820977	105126298.338	0	0	633488455.08	2085807588	0	0
Chr01-anno1.g58706.t1	3	3	0	8258070.246	207996949.26	236633849.42	9309964	0	0	0	148164679.8	87097515.12	0	0
Chr01-anno1.g59067.t1	1	1	0	0	95167476.79	111176134.5	0	0	0	0	95167476.79	0	0	0
Chr01-anno1.g59458.t1	10	16	2815698772.11	4395813824.5	1735226292.48	1787966780.73	2684670701	2591252708.33	0	0	0	0	1977224667	2591252708.33
Chr01-anno1.g59750.t1	1	1	0	0	0	55764167.2	0	0	0	0	0	55764167.2	0	0
Chr01-anno1.g59850.t1	1	4	0	0	0	25983540.34	0	0	0	0	0	25983540.34	0	0
Chr01-anno1.g59994.t1	12	23	15589270.464	213781505.806	1826789086.82	4838355393.06	916644587	1351329805.4	0	0	1551961160.42	3807857505.73	411835307	852143929.2
Chr01-anno1.g60247.t1	4	13	3263175056.7	3417731999.2	2406922808.7	1551759524.1	59093105	91494041.96	3263175056.7	3417731999.2	1612214610.3	1118057939	0	0
Chr01-anno1.g60266.t1	3	4	0	0	25536355.37	99646026.05	406243116	486990531.4	0	0	0	81748939.44	106343728	291641191.4
Chr01-anno1.g60365.t1	1	1	0	0	0	0	40651120	0	0	0	0	0	40651120	0
Chr01-anno1.g60564.t1	11	28	5640699871.26	9010922321.99	5121714116.9	4990440709.34	239110014	134153084.21	2473724827.76	5269103953.72	2565850725.8	4656574900.1	79522564	0
Chr01-anno1.g60914.t1	1	3	0	0	158445269.1	122996533.9	92091120	126984094	0	0	158445269.1	122996533.9	0	126984094
Chr01-anno1.g61032.t1	14	54	800615293.51	578425452.03	32342108250.15	43139753234.13	1741156050	1509533853.2	622878978.55	210315283.95	32277967941.3	31408470129.11	1548009920	1479941860.34
Chr01-anno1.g61065.t1	2	4	94401402.837	169725565.64	102944430.4	34258954.2	24717204	16390099.47	85012739.99	169725565.64	102944430.4	0	0	0
Chr01-anno1.g61074.t1	4	7	0	19740071.54	1363758964.2	723933614.9	0	0	0	0	1363758964.2	606229360.1	0	0
Chr01-anno1.g61166.t1	2	3	0	0	129637632.98	254901004.1	11981917	0	0	0	129637632.98	150186990.4	0	0
Chr01-anno1.g61176.t1	2	2	0	0	229251164.5	205001752.37	5052386	0	0	0	77495808.9	84833786.87	0	0
Chr01-anno1.g61189.t1	13	30	1736643390.31	2280159720.37	1652508067.4	792426588.22	26269245	4790457.859	1409669743.11	2219793397.65	983799778.82	181828951.1	0	0
Chr01-anno1.g61192.t1	12	26	25969619.11	146345538.148	172929202.97	609578429.29	12709205888	12476238217.4	0	0	0	0	12258799200	12476238217.4
Chr01-anno1.g61247.t1	2	4	0	0	0	0	173007048	207847963.1	0	0	0	0	173007048	207847963.1
Chr01-anno1.g61407.t1	3	6	981301273	295225326.5	594764810	1632727031.9	85919980	79945883.5	268601073.3	295225326.5	372632181.1	379561892.9	0	0
Chr01-anno1.g61421.t1	3	5	409222848.42	347847871.1	228626564.54	412789809.94	0	0	197530339.32	347847871.1	0	0	0	0
Chr01-anno1.g61439.t1	2	2	0	0	38287612.94	26954444.7	7081813	51282058.63	0	0	0	0	7081813	36716906.82
Chr01-anno1.g61482.t1	4	7	0	30491400.239	562925804.3237	653787090.67	258411779	345775266.8	0	0	206219191.5	348684467.77	244340472	345775266.8
Chr01-anno1.g61525.t1	3	4	0	34796367.92	348492916.2	724641696.01	0	56098029.77	0	0	123629628.1	724641696.01	0	0
Chr01-anno1.g61541.t1	1	1	0	260250078.2	0	0	0	0	0	260250078.2	0	0	0	0
Chr01-anno1.g61640.t1	2	5	114271451.99	67083146.2	250814885.1	569686051.4	0	0	93823105.05	67083146.2	250814885.1	0	0	0
Chr01-anno1.g61667.t1	5	6	0	9947316.356	194405237.01	2483810435.7	18042690	0	0	0	32834756.82	2483810435.7	0	0
Chr01-anno1.g61721.t1	28	65	480191967.395	412515528.239	16773684059.58	32826122246.47	1696618780.5	1488835384.151	21991184.62	28144873.9	15066595474.2	29611425880.07	451878252	299699585.058
Chr01-anno1.g61738.t1	2	2	0	0	74173542.49	236588056.96	26435802	30895718.92	0	0	0	236588056.96	0	0
Chr01-anno1.g61781.t1	4	11	947165941.89	864917442.36	506406593.37	410934970.01	55881096	309915782.132	947165941.89	841780559.8	261402144.3	154133781.6	0	0
Chr01-anno1.g61788.t1	14	29	2575599106.66	1679602859.34	1017231491.25	1455216367.453	102796896	217955294.25	2371004149.58	1379664188.8	774394704.61	917355551.13	0	0
Chr01-anno1.g61821.t1	2	5	229253559.75	163129026.1	455495916.3	462275617.49	88921558	109232640.4	0	0	250316789.9	399556516.1	63571132	57498237.61
Chr01-anno1.g61919.t1	13	23	53593208.924	128212926.99	162253994.086	330605678.89	2146486560	3076941130.82	0	0	9821877.082	0	1995038032	2848952420.72
Chr01-anno1.g61939.t1	1	1	12979090.65	0	47345794.99	96401381.83	31506536	0	0	0	0	96401381.83	0	0
Chr01-anno1.g61978.t1	2	4	0	0	277920937.86	313180431.9	130638128	7415557.707	0	0	277920937.86	313180431.9	0	0
