Target,Targeting,Type,AGI_ID,Conica_ID,Accession,Notes,conica_chloroplast_1,conica_chloroplast_2,conica_mito_1,conica_mito_2,conica_nuclear_1,conica_nuclear_2,Mitochondrial,Cytosolic,Chloroplast
M|P|N,Cyto+Organellar,AlaRS,At1g50200,23198,Sconica_v3_22300-RA,Maybe mito dominated?,0,0,0,0,286977601.4,353774619.4,1,1,1
M|P|N,Cyto+Organellar,AlaRS,At1g50200,26979,Chr04-long_reads1.PB.2041.4,Maybe mito dominated?,0,0,610957808,486091178.3,656137246.7,544919374.2,1,1,1
M|P,Organellar,AlaRS,At5g22800,29328,FUN_009941-T1,Maybe plastid dominated?,2416382867,3990084611,33197526,0,2478360694,237120032.4,1,0,1
M|P,Organellar,ArgRS,At1g66530,57610,Chr09-anno1.g43234.t1,lineage-specific paralogy,643498188.6,956499422.4,532862088,629035475.7,1620405021,1910940228,1,0,1
M|P,Organellar,AsnRS,At4g17300,58392,Sconica_v3_13639-RA,,1494588125,2489771239,2490199821,2396935440,1162926637,781745682.7,1,0,1
N,Cyto,AsnRS,At5g56680,64676,Sconica_v3_22653-RA,,0,0,19592774,18335901.25,2353966437,4038821155,0,1,0
N,Cyto,AspRS,At4g31180,64872,Iso-Seq_AspRS_At4g31180_64872,,0,0,136301152,0,5012930799,4308619056,0,1,0
M|P,Organellar,AspRS,At4g33760,56023,Sconica_v3_18974-RA,,23300792.52,209618290.1,882432988,463253095,39142081.31,0,1,0,1
M|P,Organellar,CysRS,At2g31170,65947,Chr02-anno1.g25381.t1,,11716455.82,79688671.28,3161819564,3255834179,62628939.41,51770305.67,1,0,1
M|N,Cyto+Mito,GlnRS,At1G25350,45071_GLUED,Sconica_v3_42348-RA,Gain of mito targeting relative to Arabidopsis,0,0,260010636,166810883.8,542134002.2,1147894661,1,1,0
N,Cyto,GluRS,At5g26710,47158,Chr03-anno1.g51676.t1,Possible gain of mito; same locus as conica 52005,0,0,743314134,167666999.8,692330863.7,813816524.8,0,1,0
M|P,Organellar,GluRS,At5g64050,62571,Sconica_v3_14264-RA,,453179686.1,1632806247,1065661016,592681727.3,596656224.5,0,1,0,1
M|N,Cyto+Mito,GlyRS,At1g29870,35483,Sconica_v3_41503-RA,Not sure about expected targeting,0,0,2159775730,1740664669,3742667609,7901308099,1,1,0
M|P,Organellar,GlyRS,At3g48110,22351,FUN_024374-T1,Possibly plastid only,1155603860,2054352050,0,0,2653447182,91768407.8,1,0,1
N,Cyto,HisRS,At3g02760,37497,Iso-Seq_HisRS_At3g02760_37497.00,,0,0,0,0,0,111849004.8,0,1,0
N,Cyto,HisRS,At3g02760,MISSING,FUN_046796-T1,,0,0,0,0,187431488.9,136075284.4,0,1,0
M|P,Organellar,HisRS,At3g46100,71500,Sconica_v3_02593-RA,,127536283.6,362877130.2,294587204,209776829.3,202010809.2,0,1,0,1
N,Cyto,IleRS,At4g10320,15822,Sconica_v3_35665-RA,,0,0,0,0,130804262.7,304309742.4,0,1,0
M|P,Organellar,IleRS,At5g49030,14244,Chr07-long_reads1.PB.3969.1,,556532774,1301828444,946506654,309497632.5,617249691.7,82876565.17,1,0,1
M|N,Cyto+Mito,LeuRS,At1g09620,15091,Chr05-anno2.g72739.t1,,0,0,1562031079,1787739271,955963035.8,740334674.7,1,1,0
P,Plastid,LeuRS,At4g04350,28654,Chr09-anno1.g40716.t1,,1128085345,1562426203,10412243,0,1028081158,509062340.1,0,0,1
M|P|N,Cyto+Organellar,LysRS,At3g11710,53623,Sconica_v3_29677-RA,Gain of organellar targeting relative to Arabidopsis,0,0,977197906,377904572.3,2134598664,2450917110,1,1,1
M|P,Organellar,LysRS,At3g13490,56941,FUN_029123-T1,,395680740,1024747418,0,0,305430011.2,0,1,0,1
N,Cyto,MetRS,At2g40660,76312,Sconica_v3_15968-RA,,0,0,16316187,0,155290669.6,365249262.6,0,1,0
M|P,Organellar,MetRS,At3g55400,60981,Sconica_v3_04962-RA,,548310883.3,1286090232,118679358,67065018.73,642394959.4,132710189.3,1,0,1
M|N,Cyto+Mito,MetRS,At4g13780,42362_GLUED,Chr09-anno1.g39780.t1,Gain of mito targeting relative to Arabidopsis,0,0,998145576,473065183.6,366878798.7,849927121.6,1,1,0
N,Cyto,PheRS,At1g72550,53898,Sconica_v3_11405-RA,,0,0,0,0,1291082002,1153457724,0,1,0
M,Mito,PheRS,At3g58140,76028,Chr01-anno1.g64625.t1,,0,0,1620023984,1188549306,0,0,1,0,0
P,Plastid,PheRS,At3g58140,77120,Sconica_v3_09891-RA,,1963658781,2553853962,354021744,136933001.8,2812510413,1763631589,0,0,1
