"Master Protein Accessions","conica_chloroplast_1","conica_chloroplast_2","conica_mito_1","conica_mito_2","conica_nuclear_1","conica_nuclear_2"
"Chr01-anno1.g58176.t1",6,4,0,0,2,0
"Chr01-anno1.g60247.t1",2,3,0,0,3,2
"Chr01-anno1.g60564.t1",5,8,2,1,5,8
"Chr01-anno1.g61032.t1",7,5,7,9,14,10
"Chr01-anno1.g61065.t1",1,2,0,0,1,0
"Chr01-anno1.g61189.t1",9,11,0,0,7,2
"Chr01-anno1.g61407.t1",1,2,0,0,1,2
"Chr01-anno1.g61421.t1",3,4,0,0,0,0
"Chr01-anno1.g61605.t1",1,0,0,0,0,0
"Chr01-anno1.g61640.t1",2,1,0,0,3,0
"Chr01-anno1.g61721.t1",2,1,6,4,28,30
"Chr01-anno1.g61781.t1",4,2,0,0,2,2
"Chr01-anno1.g61788.t1",11,9,0,0,6,6
"Chr01-anno1.g62185.t1",1,2,0,2,2,0
"Chr01-anno1.g62439.t1",8,6,0,0,3,3
"Chr01-anno1.g62471.t1",11,11,0,0,5,6
"Chr01-anno1.g62606.t1",2,1,0,0,1,1
"Chr01-anno1.g63118.t1",17,22,2,0,10,3
"Chr01-anno1.g63123.t1",1,0,0,0,0,0
"Chr01-anno1.g63406.t1",2,1,0,0,0,3
"Chr01-anno1.g63408.t1",20,34,6,10,22,14
"Chr01-anno1.g63513.t1",15,10,0,0,5,12
"Chr01-anno1.g63939.t1",1,0,0,0,0,0
"Chr01-anno1.g64174.t1",3,3,0,0,1,1
"Chr01-anno1.g64206.t1",1,0,0,0,0,0
"Chr01-anno1.g64251.t1",2,1,0,0,1,1
"Chr01-anno1.g64272.t1",2,2,31,18,2,3
"Chr01-anno1.g64351.t1",6,7,0,0,5,1
"Chr01-anno1.g64724.t1",1,2,0,0,0,0
"Chr01-anno1.g64732.t1",14,20,4,7,16,11
"Chr01-anno1.g64849.t1",10,16,0,0,9,6
"Chr01-anno2.g43952.t1",19,20,0,0,15,10
"Chr01-anno2.g44161.t1",12,10,0,0,9,9
"Chr01-anno2.g44440.t1",1,1,0,0,0,0
"Chr01-anno2.g46480.t1",1,1,1,0,0,0
"Chr01-anno2.g46927.t1",16,15,0,0,12,8
"Chr01-anno2.g47224.t1",1,8,0,0,0,0
"Chr01-anno2.g47487.t1",13,13,0,0,3,2
"Chr01-anno2.g48474.t1",27,27,0,0,23,20
"Chr01-anno2.g48736.t1",6,6,2,3,5,5
"Chr01-anno2.g50376.t1",2,0,0,0,1,2
"Chr01-anno2.g50865.t1",1,3,0,0,4,2
"Chr01-anno2.g51413.t1",1,0,0,0,7,3
"Chr01-long_reads1.PB.176.10",4,1,28,24,49,0
"Chr01-long_reads1.PB.22.2",4,2,0,0,1,0
"Chr01-long_reads1.PB.238.1",4,7,0,0,0,0
"Chr01-long_reads1.PB.423.1",1,0,0,0,0,0
"Chr02-anno1.g20323.t1",1,2,0,0,1,0
"Chr02-anno1.g20472.t1",1,0,0,0,0,0
"Chr02-anno1.g20639.t1",1,2,0,2,0,0
"Chr02-anno1.g20661.t1",7,4,0,0,2,0
"Chr02-anno1.g21303.t1",51,52,3,7,36,28
"Chr02-anno1.g21401.t1",1,1,0,0,1,2
"Chr02-anno1.g21525.t1",2,2,3,5,1,4
"Chr02-anno1.g21533.t1",4,2,1,1,2,1
"Chr02-anno1.g21863.t1",1,1,0,0,2,1
"Chr02-anno1.g21915.t1",1,0,0,0,0,0
"Chr02-anno1.g22390.t1",5,4,0,0,1,4
"Chr02-anno1.g23843.t1",8,10,0,0,3,7
"Chr02-anno1.g24083.t1",1,4,0,0,0,0
"Chr02-anno1.g24096.t1",2,7,0,0,4,3
"Chr02-anno1.g24736.t1",2,3,0,0,1,0
"Chr02-anno1.g24759.t2",5,2,7,7,1,2
"Chr02-anno1.g25178.t1",11,8,1,1,3,4
