Protein,Cp1_noPF,Cp2_noPF,Mt1_noPF,Mt2_noPF,Lf1_noPF,Lf2_noPF
Chr01-anno1.g58176.t1,342319031.4,217391041.2,0,0,156033031.4,0
Chr01-anno1.g58184.t1,0,0,0,0,67330397.95,0
Chr01-anno1.g58297.t1,0,0,0,265732985.6,0,0
Chr01-anno1.g58419.t1,0,0,0,0,192414970.4,1195509065
Chr01-anno1.g58427.t1,0,48913229.44,674117758,234010044.3,271115398.6,78653898.04
Chr01-anno1.g58473.t1,0,0,0,0,59990856.4,219469600.9
Chr01-anno1.g58654.t1,0,0,197912930,218840274.5,0,0
Chr01-anno1.g58696.t1,0,0,0,0,633488455.1,2085807588
Chr01-anno1.g58706.t1,0,0,0,0,148164679.8,87097515.12
Chr01-anno1.g59067.t1,0,0,0,0,95167476.79,0
Chr01-anno1.g59458.t1,0,0,1977224667,2591252708,0,0
Chr01-anno1.g59750.t1,0,0,0,0,0,55764167.2
Chr01-anno1.g59850.t1,0,0,0,0,0,25983540.34
Chr01-anno1.g59994.t1,0,0,411835307,852143929.2,1551961160,3807857506
Chr01-anno1.g60247.t1,3263175057,3417731999,0,0,1612214610,1118057939
Chr01-anno1.g60266.t1,0,0,106343728,291641191.4,0,81748939.44
Chr01-anno1.g60365.t1,0,0,40651120,0,0,0
Chr01-anno1.g60564.t1,2473724828,5269103954,79522564,0,2565850726,4656574900
Chr01-anno1.g60914.t1,0,0,0,126984094,158445269.1,122996533.9
Chr01-anno1.g61032.t1,622878978.6,210315284,1548009920,1479941860,32277967941,31408470129
Chr01-anno1.g61065.t1,85012739.99,169725565.6,0,0,102944430.4,0
Chr01-anno1.g61074.t1,0,0,0,0,1363758964,606229360.1
Chr01-anno1.g61166.t1,0,0,0,0,129637633,150186990.4
Chr01-anno1.g61176.t1,0,0,0,0,77495808.9,84833786.87
Chr01-anno1.g61189.t1,1409669743,2219793398,0,0,983799778.8,181828951.1
Chr01-anno1.g61192.t1,0,0,12258799200,12476238217,0,0
Chr01-anno1.g61247.t1,0,0,173007048,207847963.1,0,0
Chr01-anno1.g61407.t1,268601073.3,295225326.5,0,0,372632181.1,379561892.9
Chr01-anno1.g61421.t1,197530339.3,347847871.1,0,0,0,0
Chr01-anno1.g61439.t1,0,0,7081813,36716906.82,0,0
Chr01-anno1.g61482.t1,0,0,244340472,345775266.8,206219191.5,348684467.8
Chr01-anno1.g61525.t1,0,0,0,0,123629628.1,724641696
Chr01-anno1.g61541.t1,0,260250078.2,0,0,0,0
Chr01-anno1.g61640.t1,93823105.05,67083146.2,0,0,250814885.1,0
Chr01-anno1.g61667.t1,0,0,0,0,32834756.82,2483810436
Chr01-anno1.g61721.t1,21991184.62,28144873.9,451878252,299699585.1,15066595474,29611425880
Chr01-anno1.g61738.t1,0,0,0,0,0,236588057
Chr01-anno1.g61781.t1,947165941.9,841780559.8,0,0,261402144.3,154133781.6
Chr01-anno1.g61788.t1,2371004150,1379664189,0,0,774394704.6,917355551.1
Chr01-anno1.g61821.t1,0,0,63571132,57498237.61,250316789.9,399556516.1
Chr01-anno1.g61919.t1,0,0,1995038032,2848952421,9821877.082,0
Chr01-anno1.g61939.t1,0,0,0,0,0,96401381.83
Chr01-anno1.g61978.t1,0,0,0,0,277920937.9,313180431.9
Chr01-anno1.g62128.t1,0,0,0,150224521,85800778.64,123705459.3
Chr01-anno1.g62185.t1,19578043.32,120815630,0,128696486.1,102698768.1,0
