Checked,Protein_FDR_Confidence,Master,Accession,Description,q-value,Sum_PEP_Score,Coverage_percent,Peptides,PSMs,UniquePeptides,Aas,MW,calc_pI,Score_Sequest_HT,Num_Peptides,RazorPeptides,Abundance_cp1,Abundance_cp2,Abundance_mt1,Abundance_mt2,Abundance_lf1,Abundance_lf2,Found_cp1,Found_cp2,Found_mt1,Found_mt2,Found_lf1,Found_lf2,ProteinGroups,Modifications
FALSE,High,Master Protein,transcript/22592.p1,transcript/22592.p1,0,2574.345,77,88,913,12,1044,113.6,6.96,3919.53,88,0,248726891.6,281273702.4,1661381367,3169106561,129126890.8,227487484.6,High,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,transcript/20524.p1,transcript/20524.p1,0,2570.986,77,88,908,12,1048,114.1,6.96,3905.13,88,99,563870739.1,489499435.2,32768805217,43462935006,1695701465,2096818233,Peak Found,High,High,High,High,High,1,
FALSE,High,Master Protein,transcript/26218.p1,transcript/26218.p1,0,1855.955,74,88,443,22,1018,111,7.99,1717.99,88,70,393372281.3,348230902.1,11310417010,21732471705,1016950004,816185725.2,High,High,High,High,High,High,1,
FALSE,High,Master Protein,transcript/17145.p1,transcript/17145.p1,0,1826.044,71,93,389,9,1017,115.8,6.95,1488.03,93,92,116894117.8,167204113.5,8599771600,15448272897,426548155.5,423934292.1,Peak Found,Peak Found,High,High,High,High,1,
FALSE,High,Master Protein,transcript/100933.p1,transcript/100933.p1,0,1566.173,84,57,763,24,513,56.8,7.68,3032.99,57,45,351610738,314615668.5,34855947720,46710837473,2148723835,2690441447,High,High,High,High,High,High,1,
FALSE,High,Master Protein,transcript/102679.p1,transcript/102679.p1,0,1558.604,75,53,1064,12,618,66.6,7.39,4206.83,53,51,1741622328,1482744634,44005717547,53601396158,3446894659,3634303775,High,High,High,High,High,High,1,
FALSE,High,Master Protein,transcript/2273.p1,transcript/2273.p1,0,1399.256,55,73,405,3,1623,175.9,6.51,1492.89,73,0,72612581.38,62886703.25,49314670,58236051.5,66076299.63,63246082.25,High,High,Peak Found,Peak Found,High,High,1,
FALSE,High,Master Protein,transcript/20965.p1,transcript/20965.p1,0,1385.152,62,73,301,7,1017,115.4,6.95,1116.64,73,24,23578397.45,16855575.25,1027804663,1313704697,300240289,189552773.5,Peak Found,Peak Found,High,High,Peak Found,Peak Found,1,
FALSE,High,Master Protein,transcript/4390.p1,transcript/4390.p1,0,1344.32,55,75,406,5,1584,172.1,6.46,1462.9,75,84,2248972604,1834264521,969794495.5,1348564799,2260903873,2557489451,High,High,High,High,High,High,1,
FALSE,High,Master Protein,transcript/76106.p1,transcript/76106.p1,0,1330.303,79,45,678,12,442,48.5,7.33,2763.44,45,40,10441795061,9269717125,5497483434,4927013674,10854696417,13257488286,High,High,High,High,High,High,1,
